report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction
2024-09-02,0,1,12,15,10,2050,1869,53.0,11837.0,34.0,6943.5,0,9,20500
2024-09-03,0,1,12,74,62,14607,12285,15.0,2050.0,47.333333333333336,9498.0,1,9,905634
2024-09-04,0,1,12,61,51,13804,11830,74.0,14607.0,50.75,10574.5,2,9,704004
2024-09-05,0,1,12,61,51,15798,13424,61.0,13804.0,52.8,11619.2,3,9,805698
2024-09-06,0,1,12,77,63,18692,15516,61.0,15798.0,56.833333333333336,12798.0,4,9,1177596
2024-09-07,0,1,12,56,46,19121,15727,77.0,18692.0,56.714285714285715,13701.285714285714,5,9,879566
2024-09-08,0,1,12,61,53,14273,12005,56.0,19121.0,57.857142857142854,14049.285714285714,6,9,756469
2024-09-09,0,1,12,71,58,14052,11936,61.0,14273.0,65.85714285714286,15763.857142857143,0,9,815016
2024-09-10,0,1,12,78,63,19726,15826,71.0,14052.0,66.42857142857143,16495.14285714286,1,9,1242738
2024-09-11,0,1,12,84,65,17562,14381,78.0,19726.0,69.71428571428571,17032.0,2,9,1141530
2024-09-12,0,1,12,70,55,16702,13974,84.0,17562.0,71.0,17161.14285714286,3,9,918610
2024-09-13,0,1,12,91,76,14261,12008,70.0,16702.0,73.0,16528.14285714286,4,9,1083836
2024-09-14,0,1,12,94,71,14258,11922,91.0,14261.0,78.42857142857143,15833.42857142857,5,9,1012318
2024-09-15,0,1,12,83,66,11354,9545,94.0,14258.0,81.57142857142857,15416.42857142857,6,9,749364
2024-09-16,0,1,12,97,77,12771,10826,83.0,11354.0,85.28571428571429,15233.42857142857,0,9,983367
2024-09-17,0,1,12,56,48,18267,14879,97.0,12771.0,82.14285714285714,15025.0,1,9,876816
2024-09-18,0,1,12,78,66,18975,15619,56.0,18267.0,81.28571428571429,15226.857142857143,2,9,1252350
2024-09-19,0,1,12,101,87,15870,13193,78.0,18975.0,85.71428571428571,15108.0,3,9,1380690
2024-09-20,0,1,12,64,54,15342,12758,101.0,15870.0,81.85714285714286,15262.42857142857,4,9,828468
2024-09-21,0,1,12,78,68,14246,11767,64.0,15342.0,79.57142857142857,15260.714285714286,5,9,968728
2024-09-22,0,1,12,74,60,11895,9967,78.0,14246.0,78.28571428571429,15338.0,6,9,713700
2024-09-23,0,1,12,92,77,9409,8245,74.0,11895.0,77.57142857142857,14857.714285714286,0,9,724493
2024-09-24,0,1,12,75,57,17202,14141,92.0,9409.0,80.28571428571429,14705.57142857143,1,9,980514
2024-09-25,0,1,12,65,56,16243,13444,75.0,17202.0,78.42857142857143,14315.285714285714,2,9,909608
2024-09-26,0,1,12,81,69,14289,11955,65.0,16243.0,75.57142857142857,14089.42857142857,3,9,985941
2024-09-27,0,1,12,82,67,12742,10625,81.0,14289.0,78.14285714285714,13718.0,4,9,853714
2024-09-28,0,1,12,62,51,13645,11107,82.0,12742.0,75.85714285714286,13632.142857142857,5,9,695895
2024-09-29,0,1,12,75,59,12243,10014,62.0,13645.0,76.0,13681.857142857143,6,9,722337
2024-09-30,0,1,12,85,69,9951,8584,75.0,12243.0,75.0,13759.285714285714,0,9,686619
2024-10-01,0,1,12,46,41,18072,14382,85.0,9951.0,70.85714285714286,13883.57142857143,1,10,740952
2024-10-02,0,1,12,71,60,19618,15589,46.0,18072.0,71.71428571428571,14365.714285714286,2,10,1177080
2024-10-03,0,1,12,80,68,17698,14500,71.0,19618.0,71.57142857142857,14852.714285714286,3,10,1203464
2024-10-04,0,1,12,83,73,14839,12294,80.0,17698.0,71.71428571428571,15152.285714285714,4,10,1083247
2024-10-05,0,1,12,88,75,16052,13133,83.0,14839.0,75.42857142857143,15496.142857142857,5,10,1203900
2024-10-06,0,1,12,55,51,11498,9682,88.0,16052.0,72.57142857142857,15389.714285714286,6,10,586398
2024-10-07,0,1,12,94,82,9735,8510,55.0,11498.0,73.85714285714286,15358.857142857143,0,10,798270
2024-10-08,0,1,12,65,55,16465,13598,94.0,9735.0,76.57142857142857,15129.285714285714,1,10,905575
2024-10-09,0,1,12,66,53,16933,13935,65.0,16465.0,75.85714285714286,14745.714285714286,2,10,897449
2024-10-10,0,1,12,100,84,14973,12416,66.0,16933.0,78.71428571428571,14356.42857142857,3,10,1257732
2024-10-11,0,1,12,63,53,19690,15233,100.0,14973.0,75.85714285714286,15049.42857142857,4,10,1043570
2024-10-12,0,1,12,96,81,17637,14326,63.0,19690.0,77.0,15275.857142857143,5,10,1428597
2024-10-13,0,1,12,100,83,14710,12310,96.0,17637.0,83.42857142857143,15734.714285714286,6,10,1220930
2024-10-14,0,1,12,135,113,9261,8189,100.0,14710.0,89.28571428571429,15667.0,0,10,1046493
2024-10-15,0,1,12,72,59,16809,13752,135.0,9261.0,90.28571428571429,15716.142857142857,1,10,991731
2024-10-16,0,1,12,88,74,18529,14860,72.0,16809.0,93.42857142857143,15944.142857142857,2,10,1371146
2024-10-17,0,1,12,107,91,19344,15594,88.0,18529.0,94.42857142857143,16568.571428571428,3,10,1760304
2024-10-18,0,1,12,88,62,15164,12537,107.0,19344.0,98.0,15922.0,4,10,940168
2024-10-19,0,1,12,95,82,13699,11444,88.0,15164.0,97.85714285714286,15359.42857142857,5,10,1123318
2024-10-20,0,1,12,73,58,11655,9773,95.0,13699.0,94.0,14923.0,6,10,675990
2024-10-21,0,1,12,62,42,7600,6724,73.0,11655.0,83.57142857142857,14685.714285714286,0,10,319200
2024-10-22,0,1,12,62,48,16760,13771,62.0,7600.0,82.14285714285714,14678.714285714286,1,10,804480
2024-10-23,0,1,12,68,50,12431,10341,62.0,16760.0,79.28571428571429,13807.57142857143,2,10,621550
2024-10-24,0,1,12,53,46,12877,10770,68.0,12431.0,71.57142857142857,12883.714285714286,3,10,592342
2024-10-25,0,1,12,77,66,8405,7459,53.0,12877.0,70.0,11918.142857142857,4,10,554730
2024-10-26,0,1,12,66,58,16109,13236,77.0,8405.0,65.85714285714286,12262.42857142857,5,10,934322
2024-10-27,0,1,12,52,47,12890,10824,66.0,16109.0,62.857142857142854,12438.857142857143,6,10,605830
2024-10-28,0,1,12,77,68,9455,8217,52.0,12890.0,65.0,12703.857142857143,0,10,642940
2024-10-29,0,1,12,72,62,15051,12406,77.0,9455.0,66.42857142857143,12459.714285714286,1,10,933162
2024-10-30,0,1,12,66,52,13832,11404,72.0,15051.0,66.14285714285714,12659.857142857143,2,10,719264
2024-10-31,0,1,12,88,71,14245,11577,66.0,13832.0,71.14285714285714,12855.285714285714,3,10,1011395
2024-11-01,0,1,12,53,47,9581,8079,88.0,14245.0,67.71428571428571,13023.285714285714,4,11,450307
2024-11-02,0,1,12,68,48,7286,6355,53.0,9581.0,68.0,11762.857142857143,5,11,349728
2024-11-03,0,1,12,52,46,11540,9843,68.0,7286.0,68.0,11570.0,6,11,530840
2024-11-04,0,1,12,58,46,15522,12942,52.0,11540.0,65.28571428571429,12436.714285714286,0,11,714012
2024-11-05,0,1,12,62,46,20712,16645,58.0,15522.0,63.857142857142854,13245.42857142857,1,11,952752
2024-11-06,0,1,12,71,63,16346,13575,62.0,20712.0,64.57142857142857,13604.57142857143,2,11,1029798
2024-11-07,0,1,12,73,61,15893,13140,71.0,16346.0,62.42857142857143,13840.0,3,11,969473
2024-11-08,0,1,12,87,76,16249,13265,73.0,15893.0,67.28571428571429,14792.57142857143,4,11,1234924
2024-11-09,0,1,12,77,63,13489,11178,87.0,16249.0,68.57142857142857,15678.714285714286,5,11,849807
2024-11-10,0,1,12,50,47,11690,9654,77.0,13489.0,68.28571428571429,15700.142857142857,6,11,549430
2024-11-11,0,1,12,85,73,11770,9980,50.0,11690.0,72.14285714285714,15164.142857142857,0,11,859210
2024-11-12,0,1,12,65,58,23217,18097,85.0,11770.0,72.57142857142857,15522.0,1,11,1346586
2024-11-13,0,1,12,91,71,22411,17629,65.0,23217.0,75.42857142857143,16388.428571428572,2,11,1591181
2024-11-14,0,1,12,99,86,19031,15527,91.0,22411.0,79.14285714285714,16836.714285714286,3,11,1636666
2024-11-15,0,1,12,82,75,13205,11168,99.0,19031.0,78.42857142857143,16401.85714285714,4,11,990375
2024-11-16,0,1,12,104,96,14716,12173,82.0,13205.0,82.28571428571429,16577.14285714286,5,11,1412736
2024-11-17,0,1,12,52,42,11566,9452,104.0,14716.0,82.57142857142857,16559.428571428572,6,11,485772
2024-11-18,0,1,12,117,107,18783,14976,52.0,11566.0,87.14285714285714,17561.285714285714,0,11,2009781
