report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction
2024-09-02,0,0,3,32,28,4852,4347,52.0,9747.0,42.0,7299.5,0,9,135856
2024-09-03,0,0,3,69,53,9209,7833,32.0,4852.0,51.0,7936.0,1,9,488077
2024-09-04,0,0,3,54,40,9816,8322,69.0,9209.0,51.75,8406.0,2,9,392640
2024-09-05,0,0,3,41,38,10543,8866,54.0,9816.0,49.6,8833.4,3,9,400634
2024-09-06,0,0,3,69,55,11599,9627,41.0,10543.0,52.833333333333336,9294.333333333334,4,9,637945
2024-09-07,0,0,3,40,37,9695,8268,69.0,11599.0,51.0,9351.57142857143,5,9,358715
2024-09-08,0,0,3,30,23,10344,8582,40.0,9695.0,47.857142857142854,9436.857142857143,6,9,237912
2024-09-09,0,0,3,69,57,6922,6026,30.0,10344.0,53.142857142857146,9732.57142857143,0,9,394554
2024-09-10,0,0,3,44,38,11648,9352,69.0,6922.0,49.57142857142857,10081.0,1,9,442624
2024-09-11,0,0,3,63,54,11436,9386,44.0,11648.0,50.857142857142854,10312.42857142857,2,9,617544
2024-09-12,0,0,3,67,57,13229,10713,63.0,11436.0,54.57142857142857,10696.142857142857,3,9,754053
2024-09-13,0,0,3,77,62,9706,8145,67.0,13229.0,55.714285714285715,10425.714285714286,4,9,601772
2024-09-14,0,0,3,70,60,8416,7032,77.0,9706.0,60.0,10243.0,5,9,504960
2024-09-15,0,0,3,57,48,8118,6808,70.0,8416.0,63.857142857142854,9925.0,6,9,389664
2024-09-16,0,0,3,50,40,6419,5589,57.0,8118.0,61.142857142857146,9853.142857142857,0,9,256760
2024-09-17,0,0,3,63,52,10442,8594,50.0,6419.0,63.857142857142854,9680.857142857143,1,9,542984
2024-09-18,0,0,3,45,38,12798,10393,63.0,10442.0,61.285714285714285,9875.42857142857,2,9,486324
2024-09-19,0,0,3,58,50,9998,8364,45.0,12798.0,60.0,9413.857142857143,3,9,499900
2024-09-20,0,0,3,45,37,8808,7378,58.0,9998.0,55.42857142857143,9285.57142857143,4,9,325896
2024-09-21,0,0,3,57,50,9153,7592,45.0,8808.0,53.57142857142857,9390.857142857143,5,9,457650
2024-09-22,0,0,3,67,55,8316,6930,57.0,9153.0,55.0,9419.142857142857,6,9,457380
2024-09-23,0,0,3,84,62,4930,4393,67.0,8316.0,59.857142857142854,9206.42857142857,0,9,305660
2024-09-24,0,0,3,51,43,10462,8666,84.0,4930.0,58.142857142857146,9209.285714285714,1,9,449866
