report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction
2024-09-02,2,4,14,50,42,9045,7854,51.0,14489.0,50.5,11767.0,0,9,379890
2024-09-03,2,4,14,43,37,13210,11119,50.0,9045.0,48.0,12248.0,1,9,488770
2024-09-04,2,4,14,50,40,14615,12113,43.0,13210.0,48.5,12839.75,2,9,584600
2024-09-05,2,4,14,50,45,15890,13154,50.0,14615.0,48.8,13449.8,3,9,715050
2024-09-06,2,4,14,36,33,17284,14230,50.0,15890.0,46.666666666666664,14088.833333333334,4,9,570372
2024-09-07,2,4,14,62,53,15855,13182,36.0,17284.0,48.857142857142854,14341.142857142857,5,9,840315
2024-09-08,2,4,14,43,38,14376,12096,62.0,15855.0,47.714285714285715,14325.0,6,9,546288
2024-09-09,2,4,14,56,50,11233,9727,43.0,14376.0,48.57142857142857,14637.57142857143,0,9,561650
2024-09-10,2,4,14,54,50,14219,11814,56.0,11233.0,50.142857142857146,14781.714285714286,1,9,710950
2024-09-11,2,4,14,57,48,19593,15506,54.0,14219.0,51.142857142857146,15492.857142857143,2,9,940464
2024-09-12,2,4,14,65,54,19603,15666,57.0,19593.0,53.285714285714285,16023.285714285714,3,9,1058562
2024-09-13,2,4,14,71,57,16612,13727,65.0,19603.0,58.285714285714285,15927.285714285714,4,9,946884
2024-09-14,2,4,14,73,61,12897,10898,71.0,16612.0,59.857142857142854,15504.714285714286,5,9,786717
2024-09-15,2,4,14,62,51,11413,9685,73.0,12897.0,62.57142857142857,15081.42857142857,6,9,582063
2024-09-16,2,4,14,80,67,9854,8548,62.0,11413.0,66.0,14884.42857142857,0,9,660218
2024-09-17,2,4,14,76,63,13004,10850,80.0,9854.0,69.14285714285714,14710.857142857143,1,9,819252
2024-09-18,2,4,14,49,39,16858,13735,76.0,13004.0,68.0,14320.142857142857,2,9,657462
2024-09-19,2,4,14,57,47,14529,12146,49.0,16858.0,66.85714285714286,13595.285714285714,3,9,682863
2024-09-20,2,4,14,72,64,12858,10784,57.0,14529.0,67.0,13059.0,4,9,822912
2024-09-21,2,4,14,76,62,12947,10884,72.0,12858.0,67.42857142857143,13066.142857142857,5,9,802714
2024-09-22,2,4,14,63,49,11468,9730,76.0,12947.0,67.57142857142857,13074.0,6,9,561932
2024-09-23,2,4,14,55,48,7901,7009,63.0,11468.0,64.0,12795.0,0,9,379248
2024-09-24,2,4,14,43,39,11812,10092,55.0,7901.0,59.285714285714285,12624.714285714286,1,9,460668
2024-09-25,2,4,14,56,46,14746,12332,43.0,11812.0,60.285714285714285,12323.0,2,9,678316
2024-09-26,2,4,14,56,48,12668,10698,56.0,14746.0,60.142857142857146,12057.142857142857,3,9,608064
