report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction,sale_9_9,sale_10_10,sale_11_11,sale_12_12,payday_sale,sale_event
2024-09-02,2,4,7,39,36,5612,4631,22.0,7237.0,30.5,6424.5,0,9,202032,0,0,0,0,0,0
2024-09-03,2,4,7,30,23,7131,5898,39.0,5612.0,30.33333333333333,6660.0,1,9,164013,0,0,0,0,0,0
2024-09-04,2,4,7,43,37,8765,7115,30.0,7131.0,33.5,7186.25,2,9,324305,0,0,0,0,0,0
2024-09-05,2,4,7,40,37,8125,6649,43.0,8765.0,34.8,7374.0,3,9,300625,0,0,0,0,0,0
2024-09-06,2,4,7,40,33,8743,7222,40.0,8125.0,35.666666666666664,7602.166666666667,4,9,288519,0,0,0,0,0,0
2024-09-07,2,4,7,40,32,8090,6611,40.0,8743.0,36.285714285714285,7671.857142857143,5,9,258880,0,0,0,0,0,0
2024-09-08,2,4,7,15,14,6948,5877,40.0,8090.0,35.285714285714285,7630.571428571428,6,9,97272,0,0,0,0,0,0
2024-09-09,2,4,7,42,36,6758,5652,15.0,6948.0,35.714285714285715,7794.285714285715,0,9,243288,1,0,0,0,0,1
2024-09-10,2,4,7,57,45,7534,6208,42.0,6758.0,39.57142857142857,7851.857142857143,1,9,339030,0,0,0,0,0,0
2024-09-11,2,4,7,32,29,10182,8142,57.0,7534.0,38.0,8054.285714285715,2,9,295278,0,0,0,0,0,0
2024-09-12,2,4,7,46,33,10815,8548,32.0,10182.0,38.85714285714285,8438.57142857143,3,9,356895,0,0,0,0,0,0
2024-09-13,2,4,7,53,45,9537,7785,46.0,10815.0,40.71428571428572,8552.0,4,9,429165,0,0,0,0,0,0
2024-09-14,2,4,7,57,48,6882,5810,53.0,9537.0,43.142857142857146,8379.42857142857,5,9,330336,0,0,0,0,0,0
2024-09-15,2,4,7,52,44,6358,5363,57.0,6882.0,48.42857142857143,8295.142857142857,6,9,279752,0,0,0,0,1,1
2024-09-16,2,4,7,38,30,6076,5065,52.0,6358.0,47.85714285714285,8197.714285714286,0,9,182280,0,0,0,0,0,0
2024-09-17,2,4,7,34,29,7580,6155,38.0,6076.0,44.57142857142857,8204.285714285714,1,9,219820,0,0,0,0,0,0
2024-09-18,2,4,7,37,31,9592,7718,34.0,7580.0,45.285714285714285,8120.0,2,9,297352,0,0,0,0,0,0
2024-09-19,2,4,7,46,41,7389,6189,37.0,9592.0,45.285714285714285,7630.571428571428,3,9,302949,0,0,0,0,0,0
2024-09-20,2,4,7,50,41,7437,6127,46.0,7389.0,44.85714285714285,7330.571428571428,4,9,304917,0,0,0,0,0,0
2024-09-21,2,4,7,44,37,7307,5953,50.0,7437.0,43.0,7391.285714285715,5,9,270359,0,0,0,0,0,0
2024-09-22,2,4,7,42,37,5892,5001,44.0,7307.0,41.57142857142857,7324.714285714285,6,9,218004,0,0,0,0,0,0
