report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction
2024-09-02,0,1,0,66,52,8050,6698,55.0,10836.0,60.5,9443.0,0,9,418600
2024-09-03,0,1,0,74,56,17243,14060,66.0,8050.0,65.0,12043.0,1,9,965608
2024-09-04,0,1,0,50,40,15878,13146,74.0,17243.0,61.25,13001.75,2,9,635120
2024-09-05,0,1,0,79,67,18842,15340,50.0,15878.0,64.8,14169.8,3,9,1262414
2024-09-06,0,1,0,114,89,22073,17383,79.0,18842.0,73.0,15487.0,4,9,1964497
2024-09-07,0,1,0,77,59,19664,15453,114.0,22073.0,73.57142857142857,16083.714285714286,5,9,1160176
2024-09-08,0,1,0,82,60,13388,11195,77.0,19664.0,77.42857142857143,16448.285714285714,6,9,803280
2024-09-09,0,1,0,93,67,19182,15203,82.0,13388.0,81.28571428571429,18038.571428571428,0,9,1285194
2024-09-10,0,1,0,107,76,20744,16554,93.0,19182.0,86.0,18538.714285714286,1,9,1576544
2024-09-11,0,1,0,127,93,23504,18579,107.0,20744.0,97.0,19628.14285714286,2,9,2185872
2024-09-12,0,1,0,110,91,21938,17702,127.0,23504.0,101.42857142857143,20070.428571428572,3,9,1996358
2024-09-13,0,1,0,143,107,19429,15503,110.0,21938.0,105.57142857142857,19692.714285714286,4,9,2078903
2024-09-14,0,1,0,99,75,14395,11642,143.0,19429.0,108.71428571428571,18940.0,5,9,1079625
2024-09-15,0,1,0,106,80,10789,9145,99.0,14395.0,112.14285714285714,18568.714285714286,6,9,863120
2024-09-16,0,1,0,142,94,16537,13266,106.0,10789.0,119.14285714285714,18190.85714285714,0,9,1554478
2024-09-17,0,1,0,109,74,16494,13701,142.0,16537.0,119.42857142857143,17583.714285714286,1,9,1220556
2024-09-18,0,1,0,98,76,19854,16045,109.0,16494.0,115.28571428571429,17062.285714285714,2,9,1508904
