report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction,sale_9_9,sale_10_10,sale_11_11,sale_12_12,payday_sale,sale_event
2024-09-02,1,2,9,64,57,7453,6717,54.0,16207.0,59.0,11830.0,0,9,424821,0,0,0,0,0,0
2024-09-03,1,2,9,65,52,15284,12956,64.0,7453.0,61.0,12981.333333333334,1,9,794768,0,0,0,0,0,0
2024-09-04,1,2,9,54,47,16927,14139,65.0,15284.0,59.25,13967.75,2,9,795569,0,0,0,0,0,0
2024-09-05,1,2,9,58,46,16830,14142,54.0,16927.0,59.0,14540.2,3,9,774180,0,0,0,0,0,0
2024-09-06,1,2,9,62,55,18278,15244,58.0,16830.0,59.5,15163.166666666666,4,9,1005290,0,0,0,0,0,0
2024-09-07,1,2,9,65,55,18340,15103,62.0,18278.0,60.285714285714285,15617.0,5,9,1008700,0,0,0,0,0,0
2024-09-08,1,2,9,49,44,15457,12983,65.0,18340.0,59.57142857142857,15509.857142857143,6,9,680108,0,0,0,0,0,0
2024-09-09,1,2,9,76,65,12610,10882,49.0,15457.0,61.285714285714285,16246.57142857143,0,9,819650,1,0,0,0,0,1
2024-09-10,1,2,9,51,40,17934,14706,76.0,12610.0,59.285714285714285,16625.14285714286,1,9,717360,0,0,0,0,0,0
2024-09-11,1,2,9,58,49,20799,16684,51.0,17934.0,59.85714285714285,17178.285714285714,2,9,1019151,0,0,0,0,0,0
2024-09-12,1,2,9,83,73,20101,16532,58.0,20799.0,63.42857142857143,17645.571428571428,3,9,1467373,0,0,0,0,0,0
2024-09-13,1,2,9,77,71,15747,13181,83.0,20101.0,65.57142857142857,17284.0,4,9,1118037,0,0,0,0,0,0
2024-09-14,1,2,9,89,71,13626,11374,77.0,15747.0,69.0,16610.571428571428,5,9,967446,0,0,0,0,0,0
2024-09-15,1,2,9,72,62,12544,10657,89.0,13626.0,72.28571428571429,16194.42857142857,6,9,777728,0,0,0,0,1,1
2024-09-16,1,2,9,62,55,10381,9060,72.0,12544.0,70.28571428571429,15876.0,0,9,570955,0,0,0,0,0,0
2024-09-17,1,2,9,58,46,17131,14037,62.0,10381.0,71.28571428571429,15761.285714285714,1,9,788026,0,0,0,0,0,0
2024-09-18,1,2,9,75,63,18845,15494,58.0,17131.0,73.71428571428571,15482.142857142857,2,9,1187235,0,0,0,0,0,0
2024-09-19,1,2,9,101,82,16855,14094,75.0,18845.0,76.28571428571429,15018.42857142857,3,9,1382110,0,0,0,0,0,0
2024-09-20,1,2,9,61,49,15267,12792,101.0,16855.0,74.0,14949.857142857143,4,9,748083,0,0,0,0,0,0
2024-09-21,1,2,9,64,51,14548,12121,61.0,15267.0,70.42857142857143,15081.57142857143,5,9,741948,0,0,0,0,0,0
2024-09-22,1,2,9,70,56,13088,11073,64.0,14548.0,70.14285714285714,15159.285714285714,6,9,732928,0,0,0,0,0,0
2024-09-23,1,2,9,74,65,8664,7646,70.0,13088.0,71.85714285714286,14914.0,0,9,563160,0,0,0,0,0,0
2024-09-24,1,2,9,67,57,16682,13816,74.0,8664.0,73.14285714285714,14849.857142857143,1,9,950874,0,0,0,0,0,0
2024-09-25,1,2,9,72,63,15826,13350,67.0,16682.0,72.71428571428571,14418.57142857143,2,9,997038,0,0,0,0,0,0
2024-09-26,1,2,9,74,65,14336,11992,72.0,15826.0,68.85714285714286,14058.714285714286,3,9,931840,0,0,0,0,0,0
2024-09-27,1,2,9,77,61,13081,10955,74.0,14336.0,71.14285714285714,13746.42857142857,4,9,797941,0,0,0,0,0,0
2024-09-28,1,2,9,61,55,13545,11011,77.0,13081.0,70.71428571428571,13603.142857142857,5,9,744975,0,0,0,0,0,0
2024-09-29,1,2,9,57,48,13275,10983,61.0,13545.0,68.85714285714286,13629.857142857143,6,9,637200,0,0,0,0,0,0
2024-09-30,1,2,9,80,71,8999,7911,57.0,13275.0,69.71428571428571,13677.714285714286,0,9,638929,0,0,0,0,1,1
2024-10-01,1,2,9,79,66,13935,11657,80.0,8999.0,71.42857142857143,13285.285714285714,1,10,919710,0,0,0,0,0,0
2024-10-02,1,2,9,32,29,21489,17183,79.0,13935.0,65.71428571428571,14094.285714285714,2,10,623181,0,0,0,0,0,0
2024-10-03,1,2,9,69,60,18547,15290,32.0,21489.0,65.0,14695.857142857143,3,10,1112820,0,0,0,0,0,0
2024-10-04,1,2,9,74,62,18162,15012,69.0,18547.0,64.57142857142857,15421.714285714286,4,10,1126044,0,0,0,0,0,0
2024-10-05,1,2,9,72,62,15841,13145,74.0,18162.0,66.14285714285714,15749.714285714286,5,10,982142,0,0,0,0,0,0
2024-10-06,1,2,9,75,66,13071,11127,72.0,15841.0,68.71428571428571,15720.57142857143,6,10,862686,0,0,0,0,0,0
2024-10-07,1,2,9,62,53,8432,7500,75.0,13071.0,66.14285714285714,15639.57142857143,0,10,446896,0,0,0,0,0,0
2024-10-08,1,2,9,51,47,16509,13683,62.0,8432.0,62.142857142857146,16007.285714285714,1,10,775923,0,0,0,0,0,0
2024-10-09,1,2,9,74,66,17827,14587,51.0,16509.0,68.14285714285714,15484.142857142857,2,10,1176582,0,0,0,0,0,0
2024-10-10,1,2,9,65,59,15588,12933,74.0,17827.0,67.57142857142857,15061.42857142857,3,10,919692,0,1,0,0,0,1
2024-10-11,1,2,9,80,69,18013,14223,65.0,15588.0,68.42857142857143,15040.142857142857,4,10,1242897,0,0,0,0,0,0
2024-10-12,1,2,9,65,58,20162,16349,80.0,18013.0,67.42857142857143,15657.42857142857,5,10,1169396,0,0,0,0,0,0
2024-10-13,1,2,9,83,66,17319,14415,65.0,20162.0,68.57142857142857,16264.285714285714,6,10,1143054,0,0,0,0,0,0
2024-10-14,1,2,9,122,104,10035,8889,83.0,17319.0,77.14285714285714,16493.285714285714,0,10,1043640,0,0,0,0,0,0
2024-10-15,1,2,9,79,62,16074,13434,122.0,10035.0,81.14285714285714,16431.14285714286,1,10,996588,0,0,0,0,1,1
2024-10-16,1,2,9,81,70,18459,15120,79.0,16074.0,82.14285714285714,16521.428571428572,2,10,1292130,0,0,0,0,0,0
2024-10-17,1,2,9,89,73,17826,14569,81.0,18459.0,85.57142857142857,16841.14285714286,3,10,1301298,0,0,0,0,0,0
2024-10-18,1,2,9,82,76,15579,12906,89.0,17826.0,85.85714285714286,16493.428571428572,4,10,1184004,0,0,0,0,0,0
2024-10-19,1,2,9,79,68,13682,11456,82.0,15579.0,87.85714285714286,15567.714285714286,5,10,930376,0,0,0,0,0,0
2024-10-20,1,2,9,57,48,12690,10626,79.0,13682.0,84.14285714285714,14906.42857142857,6,10,609120,0,0,0,0,0,0
2024-10-21,1,2,9,55,50,7228,6439,57.0,12690.0,74.57142857142857,14505.42857142857,0,10,361400,0,0,0,0,0,0
