report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction,sale_9_9,sale_10_10,sale_11_11,sale_12_12,payday_sale,sale_event
2024-09-02,0,0,2,36,34,3652,3052,40.0,6517.0,38.0,5084.5,0,9,124168,0,0,0,0,0,0
2024-09-03,0,0,2,45,35,8342,7031,36.0,3652.0,40.333333333333336,6170.333333333333,1,9,291970,0,0,0,0,0,0
2024-09-04,0,0,2,28,23,7966,6711,45.0,8342.0,37.25,6619.25,2,9,183218,0,0,0,0,0,0
2024-09-05,0,0,2,32,28,8174,6613,28.0,7966.0,36.2,6930.2,3,9,228872,0,0,0,0,0,0
2024-09-06,0,0,2,45,41,10101,8208,32.0,8174.0,37.66666666666666,7458.666666666667,4,9,414141,0,0,0,0,0,0
2024-09-07,0,0,2,35,32,9484,7643,45.0,10101.0,37.285714285714285,7748.0,5,9,303488,0,0,0,0,0,0
2024-09-08,0,0,2,33,31,7249,6059,35.0,9484.0,36.285714285714285,7852.571428571428,6,9,224719,0,0,0,0,0,0
2024-09-09,0,0,2,39,36,7299,6022,33.0,7249.0,36.71428571428572,8373.57142857143,0,9,262764,1,0,0,0,0,1
2024-09-10,0,0,2,44,37,10072,8067,39.0,7299.0,36.57142857142857,8620.714285714286,1,9,372664,0,0,0,0,0,0
2024-09-11,0,0,2,45,41,10877,8766,44.0,10072.0,39.0,9036.57142857143,2,9,445957,0,0,0,0,0,0
2024-09-12,0,0,2,60,51,9729,8030,45.0,10877.0,43.0,9258.714285714286,3,9,496179,0,0,0,0,0,0
2024-09-13,0,0,2,66,57,7928,6619,60.0,9729.0,46.0,8948.285714285714,4,9,451896,0,0,0,0,0,0
2024-09-14,0,0,2,47,41,6770,5697,66.0,7928.0,47.71428571428572,8560.57142857143,5,9,277570,0,0,0,0,0,0
2024-09-15,0,0,2,35,28,5995,5054,47.0,6770.0,48.0,8381.42857142857,6,9,167860,0,0,0,0,1,1
2024-09-16,0,0,2,46,36,5893,5032,35.0,5995.0,49.0,8180.571428571428,0,9,212148,0,0,0,0,0,0
2024-09-17,0,0,2,49,40,9547,7770,46.0,5893.0,49.71428571428572,8105.571428571428,1,9,381880,0,0,0,0,0,0
2024-09-18,0,0,2,61,53,9830,8133,49.0,9547.0,52.0,7956.0,2,9,520990,0,0,0,0,0,0
2024-09-19,0,0,2,58,44,7931,6627,61.0,9830.0,51.71428571428572,7699.142857142857,3,9,348964,0,0,0,0,0,0
2024-09-20,0,0,2,52,43,7820,6471,58.0,7931.0,49.71428571428572,7683.714285714285,4,9,336260,0,0,0,0,0,0
2024-09-21,0,0,2,41,32,6818,5722,52.0,7820.0,48.85714285714285,7690.571428571428,5,9,218176,0,0,0,0,0,0
2024-09-22,0,0,2,44,37,5388,4622,41.0,6818.0,50.142857142857146,7603.857142857143,6,9,199356,0,0,0,0,0,0
2024-09-23,0,0,2,38,31,5922,5042,44.0,5388.0,49.0,7608.0,0,9,183582,0,0,0,0,0,0
2024-09-24,0,0,2,37,33,8385,6922,38.0,5922.0,47.285714285714285,7442.0,1,9,276705,0,0,0,0,0,0
2024-09-25,0,0,2,44,39,8661,7089,37.0,8385.0,44.85714285714285,7275.0,2,9,337779,0,0,0,0,0,0
2024-09-26,0,0,2,42,38,7255,6004,44.0,8661.0,42.57142857142857,7178.428571428572,3,9,275690,0,0,0,0,0,0
2024-09-27,0,0,2,40,34,6477,5422,42.0,7255.0,40.85714285714285,6986.571428571428,4,9,220218,0,0,0,0,0,0
2024-09-28,0,0,2,36,28,6509,5305,40.0,6477.0,40.142857142857146,6942.428571428572,5,9,182252,0,0,0,0,0,0
2024-09-29,0,0,2,34,31,6007,4976,36.0,6509.0,38.71428571428572,7030.857142857143,6,9,186217,0,0,0,0,0,0
2024-09-30,0,0,2,39,32,5450,4611,34.0,6007.0,38.85714285714285,6963.428571428572,0,9,174400,0,0,0,0,1,1
2024-10-01,0,0,2,21,19,8671,7006,39.0,5450.0,36.57142857142857,7004.285714285715,1,10,164749,0,0,0,0,0,0
2024-10-02,0,0,2,46,42,10534,8345,21.0,8671.0,36.85714285714285,7271.857142857143,2,10,442428,0,0,0,0,0,0
2024-10-03,0,0,2,38,31,9308,7637,46.0,10534.0,36.285714285714285,7565.142857142857,3,10,288548,0,0,0,0,0,0
2024-10-04,0,0,2,63,53,8433,6961,38.0,9308.0,39.57142857142857,7844.571428571428,4,10,446949,0,0,0,0,0,0
2024-10-05,0,0,2,36,21,8063,6601,63.0,8433.0,39.57142857142857,8066.571428571428,5,10,169323,0,0,0,0,0,0
2024-10-06,0,0,2,40,36,5144,4423,36.0,8063.0,40.42857142857143,7943.285714285715,6,10,185184,0,0,0,0,0,0
2024-10-07,0,0,2,55,49,5167,4329,40.0,5144.0,42.71428571428572,7902.857142857143,0,10,253183,0,0,0,0,0,0
2024-10-08,0,0,2,39,28,8967,7245,55.0,5167.0,45.285714285714285,7945.142857142857,1,10,251076,0,0,0,0,0,0
2024-10-09,0,0,2,38,34,8961,7200,39.0,8967.0,44.142857142857146,7720.428571428572,2,10,304674,0,0,0,0,0,0
2024-10-10,0,0,2,48,36,7274,5988,38.0,8961.0,45.57142857142857,7429.857142857143,3,10,261864,0,1,0,0,0,1
2024-10-11,0,0,2,40,35,10942,8315,48.0,7274.0,42.285714285714285,7788.285714285715,4,10,382970,0,0,0,0,0,0
2024-10-12,0,0,2,61,46,11176,8677,40.0,10942.0,45.85714285714285,8233.0,5,10,514096,0,0,0,0,0,0
2024-10-13,0,0,2,54,47,7266,6176,61.0,11176.0,47.85714285714285,8536.142857142857,6,10,341502,0,0,0,0,0,0
2024-10-14,0,0,2,61,49,5767,4848,54.0,7266.0,48.71428571428572,8621.857142857143,0,10,282583,0,0,0,0,0,0
2024-10-15,0,0,2,43,33,8538,6935,61.0,5767.0,49.285714285714285,8560.57142857143,1,10,281754,0,0,0,0,1,1
2024-10-16,0,0,2,61,48,9466,7567,43.0,8538.0,52.57142857142857,8632.714285714286,2,10,454368,0,0,0,0,0,0
