report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction
2024-09-02,0,1,18,34,32,4494,3910,69.0,11465.0,51.5,7979.5,0,9,143808
2024-09-03,0,1,18,98,80,13283,11148,34.0,4494.0,67.0,9747.333333333334,1,9,1062640
2024-09-04,0,1,18,72,52,14976,12434,98.0,13283.0,68.25,11054.5,2,9,778752
2024-09-05,0,1,18,81,63,14795,12323,72.0,14976.0,70.8,11802.6,3,9,932085
2024-09-06,0,1,18,64,57,15948,13267,81.0,14795.0,69.66666666666667,12493.5,4,9,909036
2024-09-07,0,1,18,63,50,17808,14307,64.0,15948.0,68.71428571428571,13252.714285714286,5,9,890400
2024-09-08,0,1,18,98,80,14382,11774,63.0,17808.0,72.85714285714286,13669.42857142857,6,9,1150560
2024-09-09,0,1,18,77,67,13551,11380,98.0,14382.0,79.0,14963.285714285714,0,9,907917
2024-09-10,0,1,18,89,67,16989,13964,77.0,13551.0,77.71428571428571,15492.714285714286,1,9,1138263
2024-09-11,0,1,18,74,60,18674,15061,89.0,16989.0,78.0,16021.0,2,9,1120440
2024-09-12,0,1,18,111,80,16825,13710,74.0,18674.0,82.28571428571429,16311.0,3,9,1346000
2024-09-13,0,1,18,120,92,17328,14231,111.0,16825.0,90.28571428571429,16508.14285714286,4,9,1594176
2024-09-14,0,1,18,109,90,15647,12934,120.0,17328.0,96.85714285714286,16199.42857142857,5,9,1408230
2024-09-15,0,1,18,79,63,12987,10753,109.0,15647.0,94.14285714285714,16000.142857142857,6,9,818181
2024-09-16,0,1,18,123,99,11888,9907,79.0,12987.0,100.71428571428571,15762.57142857143,0,9,1176912
2024-09-17,0,1,18,92,69,12887,10733,123.0,11888.0,101.14285714285714,15176.57142857143,1,9,889203
2024-09-18,0,1,18,83,72,18294,14749,92.0,12887.0,102.42857142857143,15122.285714285714,2,9,1317168
2024-09-19,0,1,18,88,77,14622,12142,83.0,18294.0,99.14285714285714,14807.57142857143,3,9,1125894
2024-09-20,0,1,18,87,73,16644,13450,88.0,14622.0,94.42857142857143,14709.857142857143,4,9,1215012
2024-09-21,0,1,18,82,68,14045,11432,87.0,16644.0,90.57142857142857,14481.0,5,9,955060
2024-09-22,0,1,18,86,68,10731,8929,82.0,14045.0,91.57142857142857,14158.714285714286,6,9,729708
2024-09-23,0,1,18,103,73,10681,9041,86.0,10731.0,88.71428571428571,13986.285714285714,0,9,779713
2024-09-24,0,1,18,72,50,15058,12254,103.0,10681.0,85.85714285714286,14296.42857142857,1,9,752900
2024-09-25,0,1,18,93,81,16466,13370,72.0,15058.0,87.28571428571429,14035.285714285714,2,9,1333746
2024-09-26,0,1,18,98,83,14069,11536,93.0,16466.0,88.71428571428571,13956.285714285714,3,9,1167727
2024-09-27,0,1,18,106,78,12605,10323,98.0,14069.0,91.42857142857143,13379.285714285714,4,9,983190
2024-09-28,0,1,18,62,49,11796,9438,106.0,12605.0,88.57142857142857,13058.0,5,9,578004
2024-09-29,0,1,18,66,59,7985,6833,62.0,11796.0,85.71428571428571,12665.714285714286,6,9,471115
2024-09-30,0,1,18,74,57,10454,8740,66.0,7985.0,81.57142857142857,12633.285714285714,0,9,595878
2024-10-01,0,1,18,72,56,14673,11947,74.0,10454.0,81.57142857142857,12578.285714285714,1,10,821688
2024-10-02,0,1,18,55,40,13167,10308,72.0,14673.0,76.14285714285714,12107.0,2,10,526680
2024-10-03,0,1,18,66,59,12997,10276,55.0,13167.0,71.57142857142857,11953.857142857143,3,10,766823
2024-10-04,0,1,18,62,48,11432,9374,66.0,12997.0,65.28571428571429,11786.285714285714,4,10,548736
2024-10-05,0,1,18,62,50,10499,8523,62.0,11432.0,65.28571428571429,11601.0,5,10,524950
2024-10-06,0,1,18,49,41,7301,6157,62.0,10499.0,62.857142857142854,11503.285714285714,6,10,299341
2024-10-07,0,1,18,62,50,6392,5422,49.0,7301.0,61.142857142857146,10923.0,0,10,319600
2024-10-08,0,1,18,55,42,12028,9731,62.0,6392.0,58.714285714285715,10545.142857142857,1,10,505176
2024-10-09,0,1,18,54,44,11209,9059,55.0,12028.0,58.57142857142857,10265.42857142857,2,10,493196
2024-10-10,0,1,18,57,46,10320,8251,54.0,11209.0,57.285714285714285,9883.0,3,10,474720
2024-10-11,0,1,18,64,54,12475,9454,57.0,10320.0,57.57142857142857,10032.0,4,10,673650
2024-10-12,0,1,18,69,59,13343,10347,64.0,12475.0,58.57142857142857,10438.285714285714,5,10,787237
2024-10-13,0,1,18,76,63,11802,9534,69.0,13343.0,62.42857142857143,11081.285714285714,6,10,743526
2024-10-14,0,1,18,74,61,6794,5832,76.0,11802.0,64.14285714285714,11138.714285714286,0,10,414434
2024-10-15,0,1,18,69,56,10482,8480,74.0,6794.0,66.14285714285714,10917.857142857143,1,10,586992
2024-10-16,0,1,18,58,53,12005,9510,69.0,10482.0,66.71428571428571,11031.57142857143,2,10,636265
2024-10-17,0,1,18,72,60,11870,9431,58.0,12005.0,68.85714285714286,11253.0,3,10,712200
2024-10-18,0,1,18,56,53,10818,8477,72.0,11870.0,67.71428571428571,11016.285714285714,4,10,573354
2024-10-19,0,1,18,71,56,8930,7254,56.0,10818.0,68.0,10385.857142857143,5,10,500080
2024-10-20,0,1,18,58,44,7581,6198,71.0,8930.0,65.42857142857143,9782.857142857143,6,10,333564
2024-10-21,0,1,18,68,60,7820,6529,58.0,7581.0,64.57142857142857,9929.42857142857,0,10,469200
2024-10-22,0,1,18,55,43,10338,8344,68.0,7820.0,62.57142857142857,9908.857142857143,1,10,444534
2024-10-23,0,1,18,55,47,9719,7917,55.0,10338.0,62.142857142857146,9582.285714285714,2,10,456793
2024-10-24,0,1,18,49,37,9501,7566,55.0,9719.0,58.857142857142854,9243.857142857143,3,10,351537
2024-10-25,0,1,18,76,63,4217,3514,49.0,9501.0,61.714285714285715,8300.857142857143,4,10,265671
2024-10-26,0,1,18,0,0,12927,9921,76.0,4217.0,51.57142857142857,8871.857142857143,5,10,0
2024-10-27,0,1,18,93,78,10111,7953,0.0,12927.0,56.57142857142857,9233.285714285714,6,10,788658
2024-10-28,0,1,18,60,50,6106,5177,93.0,10111.0,55.42857142857143,8988.42857142857,0,10,305300
2024-10-29,0,1,18,45,33,10766,8493,60.0,6106.0,54.0,9049.57142857143,1,10,355278
2024-10-30,0,1,18,65,56,9003,7267,45.0,10766.0,55.42857142857143,8947.285714285714,2,10,504168
2024-10-31,0,1,18,64,52,8999,7195,65.0,9003.0,57.57142857142857,8875.57142857143,3,10,467948
2024-11-01,0,1,18,39,34,7507,5849,64.0,8999.0,52.285714285714285,9345.57142857143,4,11,255238
2024-11-02,0,1,18,50,41,4639,4087,39.0,7507.0,59.42857142857143,8161.571428571428,5,11,190199
2024-11-03,0,1,18,27,22,7071,5898,50.0,4639.0,50.0,7727.285714285715,6,11,155562
2024-11-04,0,1,18,57,47,9221,7449,27.0,7071.0,49.57142857142857,8172.285714285715,0,11,433387
2024-11-05,0,1,18,41,29,12595,9826,57.0,9221.0,49.0,8433.57142857143,1,11,365255
2024-11-06,0,1,18,57,45,11346,9071,41.0,12595.0,47.857142857142854,8768.285714285714,2,11,510570
2024-11-07,0,1,18,63,54,11464,8980,57.0,11346.0,47.714285714285715,9120.42857142857,3,11,619056
2024-11-08,0,1,18,60,55,10804,8506,63.0,11464.0,50.714285714285715,9591.42857142857,4,11,594220
2024-11-09,0,1,18,53,43,8721,6927,60.0,10804.0,51.142857142857146,10174.57142857143,5,11,375003
2024-11-10,0,1,18,57,48,8940,7067,53.0,8721.0,55.42857142857143,10441.57142857143,6,11,429120
2024-11-11,0,1,18,66,53,6970,5844,57.0,8940.0,56.714285714285715,10120.0,0,11,369410
2024-11-12,0,1,18,68,60,14579,11036,66.0,6970.0,60.57142857142857,10403.42857142857,1,11,874740
2024-11-13,0,1,18,76,65,14259,11034,68.0,14579.0,63.285714285714285,10819.57142857143,2,11,926835
2024-11-14,0,1,18,89,76,12418,9937,76.0,14259.0,67.0,10955.857142857143,3,11,943768
2024-11-15,0,1,18,76,63,10356,8302,89.0,12418.0,69.28571428571429,10891.857142857143,4,11,652428
2024-11-16,0,1,18,64,54,10349,8075,76.0,10356.0,70.85714285714286,11124.42857142857,5,11,558846
2024-11-17,0,1,18,67,57,8332,6708,64.0,10349.0,72.28571428571429,11037.57142857143,6,11,474924
2024-11-18,0,1,18,85,67,8941,7163,67.0,8332.0,75.0,11319.142857142857,0,11,599047
2024-11-19,0,1,18,73,59,13107,10224,85.0,8941.0,75.71428571428571,11108.857142857143,1,11,773313
2024-11-20,0,1,18,88,77,12442,9881,73.0,13107.0,77.42857142857143,10849.285714285714,2,11,958034
2024-11-21,0,1,18,77,58,11359,9075,88.0,12442.0,75.71428571428571,10698.0,3,11,658822
2024-11-22,0,1,18,68,56,10636,8367,77.0,11359.0,74.57142857142857,10738.0,4,11,595616
2024-11-23,0,1,18,77,65,11236,8682,68.0,10636.0,76.42857142857143,10864.714285714286,5,11,730340
2024-11-24,0,1,18,59,52,9163,7336,77.0,11236.0,75.28571428571429,10983.42857142857,6,11,476476
2024-11-25,0,1,18,73,59,5781,5013,59.0,9163.0,73.57142857142857,10532.0,0,11,341079
2024-11-26,0,1,18,58,40,10347,8280,73.0,5781.0,71.42857142857143,10137.714285714286,1,11,413880
2024-11-27,0,1,18,70,56,10505,8481,58.0,10347.0,68.85714285714286,9861.0,2,11,588280
2024-11-28,0,1,18,80,64,9843,7939,70.0,10505.0,69.28571428571429,9644.42857142857,3,11,629952
2024-11-29,0,1,18,72,66,9524,7533,80.0,9843.0,69.85714285714286,9485.57142857143,4,11,628584
2024-11-30,0,1,18,61,54,8251,6758,72.0,9524.0,67.57142857142857,9059.142857142857,5,11,445554
2024-12-01,0,1,18,67,56,10194,7748,61.0,8251.0,68.71428571428571,9206.42857142857,6,12,570864
2024-12-02,0,1,18,65,57,8314,6696,67.0,10194.0,67.57142857142857,9568.285714285714,0,12,473898
2024-12-03,0,1,18,84,72,11961,9401,65.0,8314.0,71.28571428571429,9798.857142857143,1,12,861192
2024-12-04,0,1,18,74,63,11825,9426,84.0,11961.0,71.85714285714286,9987.42857142857,2,12,744975
2024-12-05,0,1,18,91,74,10358,8310,74.0,11825.0,73.42857142857143,10061.0,3,12,766492
2024-12-06,0,1,18,88,81,10266,8096,91.0,10358.0,75.71428571428571,10167.0,4,12,831546
2024-12-07,0,1,18,73,63,8683,6981,88.0,10266.0,77.42857142857143,10228.714285714286,5,12,547029
2024-12-08,0,1,18,59,48,8599,6850,73.0,8683.0,76.28571428571429,10000.857142857143,6,12,412752
2024-12-09,0,1,18,68,53,7396,6174,59.0,8599.0,76.71428571428571,9869.714285714286,0,12,391988
2024-12-10,0,1,18,59,51,10612,8552,68.0,7396.0,73.14285714285714,9677.0,1,12,541212
2024-12-11,0,1,18,75,64,11399,9118,59.0,10612.0,73.28571428571429,9616.142857142857,2,12,729536
2024-12-12,0,1,18,58,47,11494,9142,75.0,11399.0,68.57142857142857,9778.42857142857,3,12,540218
2024-12-13,0,1,18,80,70,12320,9289,58.0,11494.0,67.42857142857143,10071.857142857143,4,12,862400
2024-12-14,0,1,18,107,91,11623,9131,80.0,12320.0,72.28571428571429,10491.857142857143,5,12,1057693
2024-12-15,0,1,18,95,83,10002,8336,107.0,11623.0,77.42857142857143,10692.285714285714,6,12,830166
2024-12-16,0,1,18,110,90,12462,9953,95.0,10002.0,83.42857142857143,11416.0,0,12,1121580
2024-12-17,0,1,18,108,95,10392,8624,110.0,12462.0,90.42857142857143,11384.57142857143,1,12,987240
2024-12-18,0,1,18,91,81,12990,10418,108.0,10392.0,92.71428571428571,11611.857142857143,2,12,1052190
2024-12-19,0,1,18,83,73,12039,9573,91.0,12990.0,96.28571428571429,11689.714285714286,3,12,878847
2024-12-20,0,1,18,99,91,9676,7862,83.0,12039.0,99.0,11312.0,4,12,880516
2024-12-21,0,1,18,81,71,9970,8012,99.0,9676.0,95.28571428571429,11075.857142857143,5,12,707870
2024-12-22,0,1,18,66,56,8112,6648,81.0,9970.0,91.14285714285714,10805.857142857143,6,12,454272
2024-12-23,0,1,18,72,60,7528,6291,66.0,8112.0,85.71428571428571,10101.0,0,12,451680
2024-12-24,0,1,18,68,59,6722,5728,72.0,7528.0,80.0,9576.714285714286,1,12,396598
2024-12-26,0,1,18,80,63,6301,5383,68.0,6722.0,78.42857142857143,8621.142857142857,3,12,396963
2024-12-27,0,1,18,41,36,8097,6933,80.0,6301.0,72.42857142857143,8058.0,4,12,291492
2024-12-28,0,1,18,58,53,12993,10413,41.0,8097.0,66.57142857142857,8531.857142857143,5,12,688629
2024-12-29,0,1,18,59,52,9621,8030,58.0,12993.0,63.42857142857143,8482.0,6,12,500292
2024-12-30,0,1,18,88,73,8304,7089,59.0,9621.0,66.57142857142857,8509.42857142857,0,12,606192
2024-12-31,0,1,18,58,53,6301,5477,88.0,8304.0,64.57142857142857,8334.142857142857,1,12,333953
