report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction,sale_9_9,sale_10_10,sale_11_11,sale_12_12,payday_sale,sale_event
2024-09-02,0,0,16,0,0,2530,2228,23.0,8210.0,11.5,5370.0,0,9,0,0,0,0,0,0,0
2024-09-03,0,0,16,56,43,12153,9539,0.0,2530.0,26.33333333333333,7631.0,1,9,522579,0,0,0,0,0,0
2024-09-04,0,0,16,56,46,10470,8523,56.0,12153.0,33.75,8340.75,2,9,481620,0,0,0,0,0,0
2024-09-05,0,0,16,43,36,7867,6523,56.0,10470.0,35.6,8246.0,3,9,283212,0,0,0,0,0,0
2024-09-06,0,0,16,38,33,11394,9197,43.0,7867.0,36.0,8770.666666666666,4,9,376002,0,0,0,0,0,0
2024-09-07,0,0,16,35,28,11219,9006,38.0,11394.0,35.857142857142854,9120.42857142857,5,9,314132,0,0,0,0,0,0
2024-09-08,0,0,16,33,26,8065,6616,35.0,11219.0,37.285714285714285,9099.714285714286,6,9,209690,0,0,0,0,0,0
2024-09-09,0,0,16,41,36,9485,7626,33.0,8065.0,43.142857142857146,10093.285714285714,0,9,341460,1,0,0,0,0,1
2024-09-10,0,0,16,41,31,11518,9299,41.0,9485.0,41.0,10002.57142857143,1,9,357058,0,0,0,0,0,0
2024-09-11,0,0,16,55,42,12593,10098,41.0,11518.0,40.85714285714285,10305.857142857143,2,9,528906,0,0,0,0,0,0
2024-09-12,0,0,16,58,52,13269,10512,55.0,12593.0,43.0,11077.57142857143,3,9,689988,0,0,0,0,0,0
2024-09-13,0,0,16,66,51,9665,8032,58.0,13269.0,47.0,10830.57142857143,4,9,492915,0,0,0,0,0,0
2024-09-14,0,0,16,47,42,8476,6865,66.0,9665.0,48.71428571428572,10438.714285714286,5,9,355992,0,0,0,0,0,0
2024-09-15,0,0,16,46,41,6742,5565,47.0,8476.0,50.57142857142857,10249.714285714286,6,9,276422,0,0,0,0,1,1
2024-09-16,0,0,16,63,47,9240,7445,46.0,6742.0,53.71428571428572,10214.714285714286,0,9,434280,0,0,0,0,0,0
2024-09-17,0,0,16,51,36,10894,8682,63.0,9240.0,55.142857142857146,10125.57142857143,1,9,392184,0,0,0,0,0,0
2024-09-18,0,0,16,38,30,11039,8976,51.0,10894.0,52.71428571428572,9903.57142857143,2,9,331170,0,0,0,0,0,0
2024-09-19,0,0,16,47,39,9363,7754,38.0,11039.0,51.142857142857146,9345.57142857143,3,9,365157,0,0,0,0,0,0
2024-09-20,0,0,16,59,52,8770,7106,47.0,9363.0,50.142857142857146,9217.714285714286,4,9,456040,0,0,0,0,0,0
2024-09-21,0,0,16,39,34,8557,6895,59.0,8770.0,49.0,9229.285714285714,5,9,290938,0,0,0,0,0,0
2024-09-22,0,0,16,34,26,7106,5848,39.0,8557.0,47.285714285714285,9281.285714285714,6,9,184756,0,0,0,0,0,0
2024-09-23,0,0,16,52,42,7964,6478,34.0,7106.0,45.71428571428572,9099.0,0,9,334488,0,0,0,0,0,0
2024-09-24,0,0,16,49,40,10863,8846,52.0,7964.0,45.42857142857143,9094.57142857143,1,9,434520,0,0,0,0,0,0
2024-09-25,0,0,16,41,35,9626,7877,49.0,10863.0,45.85714285714285,8892.714285714286,2,9,336910,0,0,0,0,0,0
2024-09-26,0,0,16,58,43,9520,7733,41.0,9626.0,47.42857142857143,8915.142857142857,3,9,409360,0,0,0,0,0,0
2024-09-27,0,0,16,50,44,8165,6643,58.0,9520.0,46.142857142857146,8828.714285714286,4,9,359260,0,0,0,0,0,0
2024-09-28,0,0,16,35,30,8691,6883,50.0,8165.0,45.57142857142857,8847.857142857143,5,9,260730,0,0,0,0,0,0
2024-09-29,0,0,16,44,38,6337,5201,35.0,8691.0,47.0,8738.0,6,9,240806,0,0,0,0,0,0
2024-09-30,0,0,16,42,36,6939,5627,44.0,6337.0,45.57142857142857,8591.57142857143,0,9,249804,0,0,0,0,1,1
2024-10-01,0,0,16,36,30,10753,8621,42.0,6939.0,43.71428571428572,8575.857142857143,1,10,322590,0,0,0,0,0,0
2024-10-02,0,0,16,54,39,12039,9521,36.0,10753.0,45.57142857142857,8920.57142857143,2,10,469521,0,0,0,0,0,0
2024-10-03,0,0,16,51,44,10420,8466,54.0,12039.0,44.57142857142857,9049.142857142857,3,10,458480,0,0,0,0,0,0
2024-10-04,0,0,16,55,50,10648,8711,51.0,10420.0,45.285714285714285,9403.857142857143,4,10,532400,0,0,0,0,0,0
2024-10-05,0,0,16,44,36,9077,7412,55.0,10648.0,46.57142857142857,9459.0,5,10,326772,0,0,0,0,0,0
2024-10-06,0,0,16,44,41,6394,5297,44.0,9077.0,46.57142857142857,9467.142857142857,6,10,262154,0,0,0,0,0,0
