report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction
2024-09-02,0,0,17,45,37,4334,3817,26.0,7970.0,35.5,6152.0,0,9,160358
2024-09-03,0,0,17,49,39,7231,6089,45.0,4334.0,40.0,6511.666666666667,1,9,282009
2024-09-04,0,0,17,27,26,9537,7819,49.0,7231.0,36.75,7268.0,2,9,247962
2024-09-05,0,0,17,41,29,8247,6841,27.0,9537.0,37.6,7463.8,3,9,239163
2024-09-06,0,0,17,51,39,9405,7655,41.0,8247.0,39.833333333333336,7787.333333333333,4,9,366795
2024-09-07,0,0,17,56,46,9156,7403,51.0,9405.0,42.142857142857146,7982.857142857143,5,9,421176
2024-09-08,0,0,17,38,30,7912,6428,56.0,9156.0,43.857142857142854,7974.571428571428,6,9,237360
2024-09-09,0,0,17,54,46,5485,4721,38.0,7912.0,45.142857142857146,8139.0,0,9,252310
2024-09-10,0,0,17,45,33,10140,7944,54.0,5485.0,44.57142857142857,8554.57142857143,1,9,334620
2024-09-11,0,0,17,44,36,10628,8430,45.0,10140.0,47.0,8710.42857142857,2,9,382608
2024-09-12,0,0,17,60,44,10042,8164,44.0,10628.0,49.714285714285715,8966.857142857143,3,9,441848
2024-09-13,0,0,17,65,56,8834,7204,60.0,10042.0,51.714285714285715,8885.285714285714,4,9,494704
2024-09-14,0,0,17,48,42,7390,6036,65.0,8834.0,50.57142857142857,8633.0,5,9,310380
2024-09-15,0,0,17,50,37,6639,5448,48.0,7390.0,52.285714285714285,8451.142857142857,6,9,245643
2024-09-16,0,0,17,51,43,5674,4830,50.0,6639.0,51.857142857142854,8478.142857142857,0,9,243982
2024-09-17,0,0,17,46,36,9418,7487,51.0,5674.0,52.0,8375.0,1,9,339048
2024-09-18,0,0,17,47,34,10238,8242,46.0,9418.0,52.42857142857143,8319.285714285714,2,9,348092
2024-09-19,0,0,17,56,47,8289,6773,47.0,10238.0,51.857142857142854,8068.857142857143,3,9,389583
2024-09-20,0,0,17,70,56,8000,6543,56.0,8289.0,52.57142857142857,7949.714285714285,4,9,448000
2024-09-21,0,0,17,45,40,7602,6138,70.0,8000.0,52.142857142857146,7980.0,5,9,304080
2024-09-22,0,0,17,49,39,6685,5441,45.0,7602.0,52.0,7986.571428571428,6,9,260715
2024-09-23,0,0,17,62,45,4279,3772,49.0,6685.0,53.57142857142857,7787.285714285715,0,9,192555
2024-09-24,0,0,17,43,35,8828,7176,62.0,4279.0,53.142857142857146,7703.0,1,9,308980
2024-09-25,0,0,17,42,39,8850,7156,43.0,8828.0,52.42857142857143,7504.714285714285,2,9,345150
2024-09-26,0,0,17,51,42,7772,6405,42.0,8850.0,51.714285714285715,7430.857142857143,3,9,326424
2024-09-27,0,0,17,45,39,7109,5822,51.0,7772.0,48.142857142857146,7303.571428571428,4,9,277251
2024-09-28,0,0,17,34,34,7467,5932,45.0,7109.0,46.57142857142857,7284.285714285715,5,9,253878
2024-09-29,0,0,17,54,45,7145,5761,34.0,7467.0,47.285714285714285,7350.0,6,9,321525
2024-09-30,0,0,17,57,43,4387,3837,54.0,7145.0,46.57142857142857,7365.428571428572,0,9,188641
2024-10-01,0,0,17,41,32,9184,7299,57.0,4387.0,46.285714285714285,7416.285714285715,1,10,293888
2024-10-02,0,0,17,43,40,10819,8446,41.0,9184.0,46.42857142857143,7697.571428571428,2,10,432760
2024-10-03,0,0,17,51,45,9631,7784,43.0,10819.0,46.42857142857143,7963.142857142857,3,10,433395
2024-10-04,0,0,17,57,46,9217,7455,51.0,9631.0,48.142857142857146,8264.285714285714,4,10,423982
2024-10-05,0,0,17,55,48,8080,6564,57.0,9217.0,51.142857142857146,8351.857142857143,5,10,387840
2024-10-06,0,0,17,44,35,6658,5511,55.0,8080.0,49.714285714285715,8282.285714285714,6,10,233030
2024-10-07,0,0,17,56,48,4265,3757,44.0,6658.0,49.57142857142857,8264.857142857143,0,10,204720
