report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction
2024-09-02,0,1,4,43,31,5544,4950,59.0,12957.0,51.0,9250.5,0,9,171864
2024-09-03,0,1,4,50,42,15732,12960,43.0,5544.0,50.666666666666664,11411.0,1,9,660744
2024-09-04,0,1,4,49,39,14305,11971,50.0,15732.0,50.25,12134.5,2,9,557895
2024-09-05,0,1,4,59,49,13628,11564,49.0,14305.0,52.0,12433.2,3,9,667772
2024-09-06,0,1,4,57,47,16982,14005,59.0,13628.0,52.833333333333336,13191.333333333334,4,9,798154
2024-09-07,0,1,4,57,44,15737,13002,57.0,16982.0,53.42857142857143,13555.0,5,9,692428
2024-09-08,0,1,4,58,45,12156,10322,57.0,15737.0,53.285714285714285,13440.57142857143,6,9,547020
2024-09-09,0,1,4,60,46,11760,10082,58.0,12156.0,55.714285714285715,14328.57142857143,0,9,540960
2024-09-10,0,1,4,60,44,15480,12528,60.0,11760.0,57.142857142857146,14292.57142857143,1,9,681120
2024-09-11,0,1,4,51,43,19953,15710,60.0,15480.0,57.42857142857143,15099.42857142857,2,9,857979
2024-09-12,0,1,4,50,44,18144,14661,51.0,19953.0,56.142857142857146,15744.57142857143,3,9,798336
2024-09-13,0,1,4,100,80,16076,13302,50.0,18144.0,62.285714285714285,15615.142857142857,4,9,1286080
2024-09-14,0,1,4,69,57,13084,10972,100.0,16076.0,64.0,15236.142857142857,5,9,745788
2024-09-15,0,1,4,65,56,11308,9563,69.0,13084.0,65.0,15115.0,6,9,633248
2024-09-16,0,1,4,75,57,10648,9054,65.0,11308.0,67.14285714285714,14956.142857142857,0,9,606936
2024-09-17,0,1,4,72,57,13673,11296,75.0,10648.0,68.85714285714286,14698.0,1,9,779361
2024-09-18,0,1,4,73,57,16872,13737,72.0,13673.0,72.0,14257.857142857143,2,9,961704
2024-09-19,0,1,4,66,54,15543,12852,73.0,16872.0,74.28571428571429,13886.285714285714,3,9,839322
2024-09-20,0,1,4,72,58,12907,10769,66.0,15543.0,70.28571428571429,13433.57142857143,4,9,748606
2024-09-21,0,1,4,60,52,11784,9852,72.0,12907.0,69.0,13247.857142857143,5,9,612768
2024-09-22,0,1,4,44,36,10507,8880,60.0,11784.0,66.0,13133.42857142857,6,9,378252
2024-09-23,0,1,4,45,37,7736,6845,44.0,10507.0,61.714285714285715,12717.42857142857,0,9,286232
2024-09-24,0,1,4,61,42,13944,11600,45.0,7736.0,60.142857142857146,12756.142857142857,1,9,585648
2024-09-25,0,1,4,58,52,14277,11885,61.0,13944.0,58.0,12385.42857142857,2,9,742404
2024-09-26,0,1,4,64,57,12052,10102,58.0,14277.0,57.714285714285715,11886.714285714286,3,9,686964
2024-09-27,0,1,4,69,59,11076,9313,64.0,12052.0,57.285714285714285,11625.142857142857,4,9,653484
2024-09-28,0,1,4,48,38,11478,9316,69.0,11076.0,55.57142857142857,11581.42857142857,5,9,436164
2024-09-29,0,1,4,61,50,9952,8256,48.0,11478.0,58.0,11502.142857142857,6,9,497600
2024-09-30,0,1,4,48,37,8774,7545,61.0,9952.0,58.42857142857143,11650.42857142857,0,9,324638
2024-10-01,0,1,4,62,48,14134,11574,48.0,8774.0,58.57142857142857,11677.57142857143,1,10,678432
2024-10-02,0,1,4,67,50,15580,12645,62.0,14134.0,59.857142857142854,11863.714285714286,2,10,779000
2024-10-03,0,1,4,58,45,15739,12790,67.0,15580.0,59.0,12390.42857142857,3,10,708255
2024-10-04,0,1,4,66,57,13457,11292,58.0,15739.0,58.57142857142857,12730.57142857143,4,10,767049
2024-10-05,0,1,4,70,55,13928,11653,66.0,13457.0,61.714285714285715,13080.57142857143,5,10,766040
2024-10-06,0,1,4,50,45,11025,9420,70.0,13928.0,60.142857142857146,13233.857142857143,6,10,496125
2024-10-07,0,1,4,73,58,9852,8552,50.0,11025.0,63.714285714285715,13387.857142857143,0,10,571416
2024-10-08,0,1,4,67,49,11863,10075,73.0,9852.0,64.42857142857143,13063.42857142857,1,10,581287
2024-10-09,0,1,4,47,40,15802,12921,67.0,11863.0,61.57142857142857,13095.142857142857,2,10,632080
2024-10-10,0,1,4,68,51,13356,11067,47.0,15802.0,63.0,12754.714285714286,3,10,681156
2024-10-11,0,1,4,61,49,15063,12002,68.0,13356.0,62.285714285714285,12984.142857142857,4,10,738087
2024-10-12,0,1,4,54,39,17171,13721,61.0,15063.0,60.0,13447.42857142857,5,10,669669
2024-10-13,0,1,4,66,56,12103,10186,54.0,17171.0,62.285714285714285,13601.42857142857,6,10,677768
2024-10-14,0,1,4,82,68,17745,14379,66.0,12103.0,63.57142857142857,14729.0,0,10,1206660
2024-10-15,0,1,4,102,79,13840,11651,82.0,17745.0,68.57142857142857,15011.42857142857,1,10,1093360
2024-10-16,0,1,4,94,73,15040,12663,102.0,13840.0,75.28571428571429,14902.57142857143,2,10,1097920
2024-10-17,0,1,4,93,79,16832,13880,94.0,15040.0,78.85714285714286,15399.142857142857,3,10,1329728
2024-10-18,0,1,4,62,48,16263,13197,93.0,16832.0,79.0,15570.57142857143,4,10,780624
2024-10-19,0,1,4,80,64,12232,10186,62.0,16263.0,82.71428571428571,14865.0,5,10,782848
2024-10-20,0,1,4,53,48,8562,7392,80.0,12232.0,80.85714285714286,14359.142857142857,6,10,410976
2024-10-21,0,1,4,69,56,9906,8527,53.0,8562.0,79.0,13239.285714285714,0,10,554736
2024-10-22,0,1,4,67,52,13889,11300,69.0,9906.0,74.0,13246.285714285714,1,10,722228
2024-10-23,0,1,4,64,49,11133,9391,67.0,13889.0,69.71428571428571,12688.142857142857,2,10,545517
2024-10-24,0,1,4,39,30,9662,8155,64.0,11133.0,62.0,11663.857142857143,3,10,289860
2024-10-25,0,1,4,74,53,8209,7157,39.0,9662.0,63.714285714285715,10513.285714285714,4,10,435077
2024-10-26,0,1,4,0,0,12052,10123,74.0,8209.0,52.285714285714285,10487.57142857143,5,10,0
2024-10-27,0,1,4,69,55,10867,9179,0.0,12052.0,54.57142857142857,10816.857142857143,6,10,597685
2024-10-28,0,1,4,62,51,8061,6980,69.0,10867.0,53.57142857142857,10553.285714285714,0,10,411111
2024-10-29,0,1,4,58,46,12236,10105,62.0,8061.0,52.285714285714285,10317.142857142857,1,10,562856
2024-10-30,0,1,4,60,43,11702,9795,58.0,12236.0,51.714285714285715,10398.42857142857,2,10,503186
2024-10-31,0,1,4,71,62,9456,7893,60.0,11702.0,56.285714285714285,10369.0,3,10,586272
2024-11-01,0,1,4,65,47,8921,7428,71.0,9456.0,55.0,10470.714285714286,4,11,419287
2024-11-02,0,1,4,45,38,5543,4849,65.0,8921.0,61.42857142857143,9540.857142857143,5,11,210634
2024-11-03,0,1,4,40,33,7337,6399,45.0,5543.0,57.285714285714285,9036.57142857143,6,11,242121
2024-11-04,0,1,4,38,31,11348,9621,40.0,7337.0,53.857142857142854,9506.142857142857,0,11,351788
2024-11-05,0,1,4,30,25,12113,10284,38.0,11348.0,49.857142857142854,9488.57142857143,1,11,302825
2024-11-06,0,1,4,64,55,12775,10765,30.0,12113.0,50.42857142857143,9641.857142857143,2,11,702625
2024-11-07,0,1,4,62,55,13064,10950,64.0,12775.0,49.142857142857146,10157.285714285714,3,11,718520
2024-11-08,0,1,4,43,36,13545,11079,62.0,13064.0,46.0,10817.857142857143,4,11,487620
2024-11-09,0,1,4,59,53,10225,8602,43.0,13545.0,48.0,11486.714285714286,5,11,541925
2024-11-10,0,1,4,65,51,9284,7866,59.0,10225.0,51.57142857142857,11764.857142857143,6,11,473484
2024-11-11,0,1,4,57,56,10730,9072,65.0,9284.0,54.285714285714285,11676.57142857143,0,11,600880
2024-11-12,0,1,4,52,42,13291,10890,57.0,10730.0,57.42857142857143,11844.857142857143,1,11,558222
2024-11-13,0,1,4,50,41,17963,14301,52.0,13291.0,55.42857142857143,12586.0,2,11,736483
2024-11-14,0,1,4,57,52,17707,14071,50.0,17963.0,54.714285714285715,13249.285714285714,3,11,920764
2024-11-15,0,1,4,70,62,13852,11381,57.0,17707.0,58.57142857142857,13293.142857142857,4,11,858824
2024-11-16,0,1,4,79,62,11046,9256,70.0,13852.0,61.42857142857143,13410.42857142857,5,11,684852
2024-11-17,0,1,4,64,53,10009,8471,79.0,11046.0,61.285714285714285,13514.0,6,11,530477
2024-11-18,0,1,4,86,76,15148,12098,64.0,10009.0,65.42857142857143,14145.142857142857,0,11,1151248
2024-11-19,0,1,4,58,48,14536,11800,86.0,15148.0,66.28571428571429,14323.0,1,11,697728
2024-11-20,0,1,4,83,71,14119,11777,58.0,14536.0,71.0,13773.857142857143,2,11,1002449
2024-11-21,0,1,4,76,63,8659,7590,83.0,14119.0,73.71428571428571,12481.285714285714,3,11,545517
2024-11-22,0,1,4,61,49,11598,9806,76.0,8659.0,72.42857142857143,12159.285714285714,4,11,568302
2024-11-23,0,1,4,58,48,9035,7648,61.0,11598.0,69.42857142857143,11872.0,5,11,433680
2024-11-24,0,1,4,38,32,8798,7355,58.0,9035.0,65.71428571428571,11699.0,6,11,281536
2024-11-25,0,1,4,62,49,8150,7031,38.0,8798.0,62.285714285714285,10699.285714285714,0,11,399350
2024-11-26,0,1,4,59,47,11804,9808,62.0,8150.0,62.42857142857143,10309.0,1,11,554788
2024-11-27,0,1,4,47,42,12988,10858,59.0,11804.0,57.285714285714285,10147.42857142857,2,11,545496
2024-11-28,0,1,4,86,68,12638,10549,47.0,12988.0,58.714285714285715,10715.857142857143,3,11,859384
2024-11-29,0,1,4,50,41,12523,10319,86.0,12638.0,57.142857142857146,10848.0,4,11,513443
2024-11-30,0,1,4,57,47,12009,9984,50.0,12523.0,57.0,11272.857142857143,5,11,564423
2024-12-01,0,1,4,42,39,9682,8205,57.0,12009.0,57.57142857142857,11399.142857142857,6,12,377598
2024-12-02,0,1,4,53,49,15478,12129,42.0,9682.0,56.285714285714285,12446.0,0,12,758422
2024-12-03,0,1,4,60,48,15189,12221,53.0,15478.0,56.42857142857143,12929.57142857143,1,12,729072
2024-12-04,0,1,4,53,49,14933,12194,60.0,15189.0,57.285714285714285,13207.42857142857,2,12,731717
2024-12-05,0,1,4,66,61,13893,11410,53.0,14933.0,54.42857142857143,13386.714285714286,3,12,847473
2024-12-06,0,1,4,74,62,16561,13098,66.0,13893.0,57.857142857142854,13963.57142857143,4,12,1026782
2024-12-07,0,1,4,45,41,12404,10281,74.0,16561.0,56.142857142857146,14020.0,5,12,508564
