report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction
2024-09-02,0,0,8,61,48,8543,7407,64.0,10241.0,62.5,9392.0,0,9,410064
2024-09-03,0,0,8,91,75,18329,15169,61.0,8543.0,72.0,12371.0,1,9,1374675
2024-09-04,0,0,8,70,53,17131,14310,91.0,18329.0,71.5,13561.0,2,9,907943
2024-09-05,0,0,8,59,53,15002,12675,70.0,17131.0,69.0,13849.2,3,9,795106
2024-09-06,0,0,8,97,77,20357,16801,59.0,15002.0,73.66666666666667,14933.833333333334,4,9,1567489
2024-09-07,0,0,8,78,61,19998,16423,97.0,20357.0,74.28571428571429,15657.285714285714,5,9,1219878
2024-09-08,0,0,8,53,42,14902,12417,78.0,19998.0,72.71428571428571,16323.142857142857,6,9,625884
2024-09-09,0,0,8,81,66,19597,16091,53.0,14902.0,75.57142857142857,17902.285714285714,0,9,1293402
2024-09-10,0,0,8,89,77,20065,16208,81.0,19597.0,75.28571428571429,18150.285714285714,1,9,1545005
2024-09-11,0,0,8,98,80,21505,17420,89.0,20065.0,79.28571428571429,18775.14285714286,2,9,1720400
2024-09-12,0,0,8,109,88,22826,18421,98.0,21505.0,86.42857142857143,19892.85714285714,3,9,2008688
2024-09-13,0,0,8,119,87,19201,16010,109.0,22826.0,89.57142857142857,19727.714285714286,4,9,1670487
2024-09-14,0,0,8,144,103,17001,14084,119.0,19201.0,99.0,19299.571428571428,5,9,1751103
2024-09-15,0,0,8,110,85,12934,10837,144.0,17001.0,107.14285714285714,19018.428571428572,6,9,1099390
2024-09-16,0,0,8,90,69,12801,10735,110.0,12934.0,108.42857142857143,18047.571428571428,0,9,883269
2024-09-17,0,0,8,137,107,18914,15373,90.0,12801.0,115.28571428571429,17883.14285714286,1,9,2023798
2024-09-18,0,0,8,90,69,17484,14491,137.0,18914.0,114.14285714285714,17308.714285714286,2,9,1206396
