report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction,sale_9_9,sale_10_10,sale_11_11,sale_12_12,payday_sale,sale_event
2024-09-02,0,1,23,0,0,366,324,42.0,8653.0,21.0,4509.5,0,9,0,0,0,0,0,0,0
2024-09-03,0,1,23,58,47,15084,12093,0.0,366.0,33.333333333333336,8034.333333333333,1,9,708948,0,0,0,0,0,0
2024-09-04,0,1,23,42,33,12155,10089,58.0,15084.0,35.5,9064.5,2,9,401115,0,0,0,0,0,0
2024-09-05,0,1,23,41,37,12380,10346,42.0,12155.0,36.6,9727.6,3,9,458060,0,0,0,0,0,0
2024-09-06,0,1,23,52,47,13869,11395,41.0,12380.0,39.16666666666666,10417.833333333334,4,9,651843,0,0,0,0,0,0
2024-09-07,0,1,23,47,42,13516,11091,52.0,13869.0,40.285714285714285,10860.42857142857,5,9,567672,0,0,0,0,0,0
2024-09-08,0,1,23,43,38,11454,9514,47.0,13516.0,40.42857142857143,11260.57142857143,6,9,435252,0,0,0,0,0,0
2024-09-09,0,1,23,47,41,8454,7303,43.0,11454.0,47.142857142857146,12416.0,0,9,346614,1,0,0,0,0,1
2024-09-10,0,1,23,41,36,11840,9775,47.0,8454.0,44.71428571428572,11952.57142857143,1,9,426240,0,0,0,0,0,0
2024-09-11,0,1,23,43,37,14243,11448,41.0,11840.0,44.85714285714285,12250.857142857143,2,9,526991,0,0,0,0,0,0
2024-09-12,0,1,23,47,40,14992,12073,43.0,14243.0,45.71428571428572,12624.0,3,9,599680,0,0,0,0,0,0
2024-09-13,0,1,23,48,45,12396,10341,47.0,14992.0,45.142857142857146,12413.57142857143,4,9,557820,0,0,0,0,0,0
2024-09-14,0,1,23,60,48,10312,8664,48.0,12396.0,47.0,11955.857142857143,5,9,494976,0,0,0,0,0,0
2024-09-15,0,1,23,61,53,9877,8306,60.0,10312.0,49.57142857142857,11730.57142857143,6,9,523481,0,0,0,0,1,1
2024-09-16,0,1,23,43,34,8316,7217,61.0,9877.0,49.0,11710.857142857143,0,9,282744,0,0,0,0,0,0
2024-09-17,0,1,23,53,36,10647,8924,43.0,8316.0,50.71428571428572,11540.42857142857,1,9,383292,0,0,0,0,0,0
2024-09-18,0,1,23,41,32,14208,11539,53.0,10647.0,50.42857142857143,11535.42857142857,2,9,454656,0,0,0,0,0,0
2024-09-19,0,1,23,61,48,10929,9144,41.0,14208.0,52.42857142857143,10955.0,3,9,524592,0,0,0,0,0,0
