report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction,sale_9_9,sale_10_10,sale_11_11,sale_12_12,payday_sale,sale_event
2024-09-02,0,0,24,10,9,2043,1816,37.0,7679.0,23.5,4861.0,0,9,18387,0,0,0,0,0,0
2024-09-03,0,0,24,62,45,16036,12620,10.0,2043.0,36.333333333333336,8586.0,1,9,721620,0,0,0,0,0,0
2024-09-04,0,0,24,39,31,10289,8584,62.0,16036.0,37.0,9011.75,2,9,318959,0,0,0,0,0,0
2024-09-05,0,0,24,56,43,11317,9271,39.0,10289.0,40.8,9472.8,3,9,486631,0,0,0,0,0,0
2024-09-06,0,0,24,44,43,12890,10416,56.0,11317.0,41.333333333333336,10042.333333333334,4,9,554270,0,0,0,0,0,0
2024-09-07,0,0,24,57,46,15078,11828,44.0,12890.0,43.57142857142857,10761.714285714286,5,9,693588,0,0,0,0,0,0
2024-09-08,0,0,24,35,28,10055,8102,57.0,15078.0,43.285714285714285,11101.142857142857,6,9,281540,0,0,0,0,0,0
2024-09-09,0,0,24,58,46,10244,8515,35.0,10055.0,50.142857142857146,12272.714285714286,0,9,471224,1,0,0,0,0,1
2024-09-10,0,0,24,60,47,15239,11888,58.0,10244.0,49.85714285714285,12158.857142857143,1,9,716233,0,0,0,0,0,0
2024-09-11,0,0,24,51,47,17133,12849,60.0,15239.0,51.57142857142857,13136.57142857143,2,9,805251,0,0,0,0,0,0
2024-09-12,0,0,24,71,59,14840,11684,51.0,17133.0,53.71428571428572,13639.857142857143,3,9,875560,0,0,0,0,0,0
2024-09-13,0,0,24,76,61,11137,9197,71.0,14840.0,58.285714285714285,13389.42857142857,4,9,679357,0,0,0,0,0,0
2024-09-14,0,0,24,65,49,9896,8084,76.0,11137.0,59.42857142857143,12649.142857142857,5,9,484904,0,0,0,0,0,0
2024-09-15,0,0,24,49,38,7613,6315,65.0,9896.0,61.42857142857143,12300.285714285714,6,9,289294,0,0,0,0,1,1
2024-09-16,0,0,24,56,45,8911,7443,49.0,7613.0,61.142857142857146,12109.857142857143,0,9,400995,0,0,0,0,0,0
2024-09-17,0,0,24,54,41,11641,9348,56.0,8911.0,60.285714285714285,11595.857142857143,1,9,477281,0,0,0,0,0,0
2024-09-18,0,0,24,59,51,12815,10248,54.0,11641.0,61.42857142857143,10979.0,2,9,653565,0,0,0,0,0,0
2024-09-19,0,0,24,40,34,11302,9120,59.0,12815.0,57.0,10473.57142857143,3,9,384268,0,0,0,0,0,0
2024-09-20,0,0,24,54,44,10519,8606,40.0,11302.0,53.85714285714285,10385.285714285714,4,9,462836,0,0,0,0,0,0
2024-09-21,0,0,24,51,40,10277,8258,54.0,10519.0,51.85714285714285,10439.714285714286,5,9,411080,0,0,0,0,0,0
2024-09-22,0,0,24,59,49,7926,6626,51.0,10277.0,53.285714285714285,10484.42857142857,6,9,388374,0,0,0,0,0,0
2024-09-23,0,0,24,61,49,7223,6117,59.0,7926.0,54.0,10243.285714285714,0,9,353927,0,0,0,0,0,0
2024-09-24,0,0,24,58,46,10276,8495,61.0,7223.0,54.57142857142857,10048.285714285714,1,9,472696,0,0,0,0,0,0
2024-09-25,0,0,24,45,41,11835,9578,58.0,10276.0,52.57142857142857,9908.285714285714,2,9,485235,0,0,0,0,0,0
2024-09-26,0,0,24,68,62,9970,8095,45.0,11835.0,56.57142857142857,9718.0,3,9,618140,0,0,0,0,0,0
2024-09-27,0,0,24,50,43,9314,7623,68.0,9970.0,56.0,9545.857142857143,4,9,400502,0,0,0,0,0,0
2024-09-28,0,0,24,69,59,9109,7340,50.0,9314.0,58.57142857142857,9379.0,5,9,537431,0,0,0,0,0,0
2024-09-29,0,0,24,60,47,8889,7120,69.0,9109.0,58.71428571428572,9516.57142857143,6,9,417783,0,0,0,0,0,0
2024-09-30,0,0,24,40,34,7175,6086,60.0,8889.0,55.71428571428572,9509.714285714286,0,9,243950,0,0,0,0,1,1
2024-10-01,0,0,24,46,34,11060,8840,40.0,7175.0,54.0,9621.714285714286,1,10,376040,0,0,0,0,0,0
2024-10-02,0,0,24,54,42,13886,10893,46.0,11060.0,55.285714285714285,9914.714285714286,2,10,583212,0,0,0,0,0,0
2024-10-03,0,0,24,59,47,12904,10359,54.0,13886.0,54.0,10333.857142857143,3,10,606488,0,0,0,0,0,0
2024-10-04,0,0,24,43,38,12169,9793,59.0,12904.0,53.0,10741.714285714286,4,10,462422,0,0,0,0,0,0
2024-10-05,0,0,24,78,65,10803,8747,43.0,12169.0,54.285714285714285,10983.714285714286,5,10,702195,0,0,0,0,0,0
2024-10-06,0,0,24,38,33,7655,6345,78.0,10803.0,51.142857142857146,10807.42857142857,6,10,252615,0,0,0,0,0,0
2024-10-07,0,0,24,74,62,7142,6076,38.0,7655.0,56.0,10802.714285714286,0,10,442804,0,0,0,0,0,0
2024-10-08,0,0,24,42,31,11540,9331,74.0,7142.0,55.42857142857143,10871.285714285714,1,10,357740,0,0,0,0,0,0
2024-10-09,0,0,24,53,42,11701,9410,42.0,11540.0,55.285714285714285,10559.142857142857,2,10,491442,0,0,0,0,0,0
2024-10-10,0,0,24,49,42,11147,9038,53.0,11701.0,53.85714285714285,10308.142857142857,3,10,468174,0,1,0,0,0,1
2024-10-11,0,0,24,41,35,14194,10745,49.0,11147.0,53.57142857142857,10597.42857142857,4,10,496790,0,0,0,0,0,0
2024-10-12,0,0,24,53,42,15957,12209,41.0,14194.0,50.0,11333.714285714286,5,10,670194,0,0,0,0,0,0
2024-10-13,0,0,24,56,50,13724,10839,53.0,15957.0,52.57142857142857,12200.714285714286,6,10,686200,0,0,0,0,0,0
2024-10-14,0,0,24,84,68,8382,7086,56.0,13724.0,54.0,12377.857142857143,0,10,569976,0,0,0,0,0,0
2024-10-15,0,0,24,73,67,11184,9131,84.0,8382.0,58.42857142857143,12327.0,1,10,749328,0,0,0,0,1,1
2024-10-16,0,0,24,51,46,12727,10025,73.0,11184.0,58.142857142857146,12473.57142857143,2,10,585442,0,0,0,0,0,0
