report_date,region_x,area_cluster_x,station_id,rr_pu_vol,rr_users,total_delivery_vol,delivery_buyer,rr_pu_vol_lag1,total_delivery_vol_lag1,rr_pu_vol_ma7,total_delivery_vol_ma7,dayofweek,month,user_delivery_interaction
2024-09-02,2,3,6,50,40,5746,5076,47.0,10397.0,48.5,8071.5,0,9,229840
2024-09-03,2,3,6,51,41,11674,9716,50.0,5746.0,49.333333333333336,9272.333333333334,1,9,478634
2024-09-04,2,3,6,48,42,11682,9807,51.0,11674.0,49.0,9874.75,2,9,490644
2024-09-05,2,3,6,51,43,10394,8896,48.0,11682.0,49.4,9978.6,3,9,446942
2024-09-06,2,3,6,45,38,11974,10028,51.0,10394.0,48.666666666666664,10311.166666666666,4,9,455012
2024-09-07,2,3,6,42,38,10482,8841,45.0,11974.0,47.714285714285715,10335.57142857143,5,9,398316
2024-09-08,2,3,6,37,31,9650,8101,42.0,10482.0,46.285714285714285,10228.857142857143,6,9,299150
2024-09-09,2,3,6,56,53,8425,7276,37.0,9650.0,47.142857142857146,10611.57142857143,0,9,446525
2024-09-10,2,3,6,55,45,11107,9230,56.0,8425.0,47.714285714285715,10530.57142857143,1,9,499815
2024-09-11,2,3,6,60,51,14137,11493,55.0,11107.0,49.42857142857143,10881.285714285714,2,9,720987
2024-09-12,2,3,6,60,47,14743,11886,60.0,14137.0,50.714285714285715,11502.57142857143,3,9,692921
2024-09-13,2,3,6,52,44,11972,9977,60.0,14743.0,51.714285714285715,11502.285714285714,4,9,526768
2024-09-14,2,3,6,74,67,8948,7641,52.0,11972.0,56.285714285714285,11283.142857142857,5,9,599516
2024-09-15,2,3,6,50,43,9381,7823,74.0,8948.0,58.142857142857146,11244.714285714286,6,9,403383
2024-09-16,2,3,6,85,67,7880,6805,50.0,9381.0,62.285714285714285,11166.857142857143,0,9,527960
2024-09-17,2,3,6,60,49,10552,8814,85.0,7880.0,63.0,11087.57142857143,1,9,517048
2024-09-18,2,3,6,71,60,13426,11025,60.0,10552.0,64.57142857142857,10986.0,2,9,805560
2024-09-19,2,3,6,81,66,10511,8842,71.0,13426.0,67.57142857142857,10381.42857142857,3,9,693726
2024-09-20,2,3,6,57,52,10136,8527,81.0,10511.0,68.28571428571429,10119.142857142857,4,9,527072
2024-09-21,2,3,6,60,49,10157,8522,57.0,10136.0,66.28571428571429,10291.857142857143,5,9,497693
2024-09-22,2,3,6,64,47,9120,7631,60.0,10157.0,68.28571428571429,10254.57142857143,6,9,428640
2024-09-23,2,3,6,58,47,6240,5548,64.0,9120.0,64.42857142857143,10020.285714285714,0,9,293280
2024-09-24,2,3,6,47,41,8821,7586,58.0,6240.0,62.57142857142857,9773.0,1,9,361661
2024-09-25,2,3,6,47,40,12807,10610,47.0,8821.0,59.142857142857146,9684.57142857143,2,9,512280
2024-09-26,2,3,6,63,52,10650,8925,47.0,12807.0,56.57142857142857,9704.42857142857,3,9,553800
2024-09-27,2,3,6,46,34,8669,7382,63.0,10650.0,55.0,9494.857142857143,4,9,294746
2024-09-28,2,3,6,55,46,9358,7789,46.0,8669.0,54.285714285714285,9380.714285714286,5,9,430468
2024-09-29,2,3,6,54,45,9319,7778,55.0,9358.0,52.857142857142854,9409.142857142857,6,9,419355
2024-09-30,2,3,6,52,45,6914,6049,54.0,9319.0,52.0,9505.42857142857,0,9,311130
2024-10-01,2,3,6,46,37,11421,9402,52.0,6914.0,51.857142857142854,9876.857142857143,1,10,422577
2024-10-02,2,3,6,50,42,14592,11632,46.0,11421.0,52.285714285714285,10131.857142857143,2,10,612864
2024-10-03,2,3,6,68,57,12578,10388,50.0,14592.0,53.0,10407.285714285714,3,10,716946
2024-10-04,2,3,6,56,52,10945,9302,68.0,12578.0,54.42857142857143,10732.42857142857,4,10,569140
2024-10-05,2,3,6,52,42,11075,9301,56.0,10945.0,54.0,10977.714285714286,5,10,465150
2024-10-06,2,3,6,43,36,8606,7359,52.0,11075.0,52.42857142857143,10875.857142857143,6,10,309816
2024-10-07,2,3,6,69,55,6035,5417,43.0,8606.0,54.857142857142854,10750.285714285714,0,10,331925
2024-10-08,2,3,6,45,38,11221,9314,69.0,6035.0,54.714285714285715,10721.714285714286,1,10,426398
2024-10-09,2,3,6,62,52,12081,10086,45.0,11221.0,56.42857142857143,10363.0,2,10,628212
2024-10-10,2,3,6,57,50,12800,10569,62.0,12081.0,54.857142857142854,10394.714285714286,3,10,640000
2024-10-11,2,3,6,69,56,12868,10262,57.0,12800.0,56.714285714285715,10669.42857142857,4,10,720608
2024-10-12,2,3,6,48,43,13846,11186,69.0,12868.0,56.142857142857146,11065.285714285714,5,10,595378
2024-10-13,2,3,6,86,69,13711,11176,48.0,13846.0,62.285714285714285,11794.57142857143,6,10,946059
2024-10-14,2,3,6,98,84,7524,6577,86.0,13711.0,66.42857142857143,12007.285714285714,0,10,632016
2024-10-15,2,3,6,84,69,10546,8853,98.0,7524.0,72.0,11910.857142857143,1,10,727674
2024-10-16,2,3,6,69,59,13997,11254,84.0,10546.0,73.0,12184.57142857143,2,10,825823
2024-10-17,2,3,6,80,70,13146,10756,69.0,13997.0,76.28571428571429,12234.0,3,10,920220
2024-10-18,2,3,6,56,49,10631,8827,80.0,13146.0,74.42857142857143,11914.42857142857,4,10,520919
2024-10-19,2,3,6,80,67,9647,8087,56.0,10631.0,79.0,11314.57142857143,5,10,646349
2024-10-20,2,3,6,58,49,9151,7672,80.0,9647.0,75.0,10663.142857142857,6,10,448399
2024-10-21,2,3,6,76,62,6133,5413,58.0,9151.0,71.85714285714286,10464.42857142857,0,10,380246
2024-10-22,2,3,6,44,36,10297,8641,76.0,6133.0,66.14285714285714,10428.857142857143,1,10,370692
2024-10-23,2,3,6,51,40,11625,9722,44.0,10297.0,63.57142857142857,10090.0,2,10,465000
2024-10-24,2,3,6,19,19,2869,2606,51.0,11625.0,54.857142857142854,8621.857142857143,3,10,54511
2024-10-25,2,3,6,50,40,6605,5695,19.0,2869.0,54.0,8046.714285714285,4,10,264200
2024-10-26,2,3,6,54,45,12860,10278,50.0,6605.0,50.285714285714285,8505.714285714286,5,10,578700
2024-10-27,2,3,6,55,48,10078,8429,54.0,12860.0,49.857142857142854,8638.142857142857,6,10,483744
2024-10-28,2,3,6,79,65,5937,5283,55.0,10078.0,50.285714285714285,8610.142857142857,0,10,385905
2024-10-29,2,3,6,68,57,10835,9000,79.0,5937.0,53.714285714285715,8687.0,1,10,617595
2024-10-30,2,3,6,41,38,10113,8471,68.0,10835.0,52.285714285714285,8471.0,2,10,384294
2024-10-31,2,3,6,70,53,8824,7400,41.0,10113.0,59.57142857142857,9321.714285714286,3,10,467672
2024-11-01,2,3,6,37,34,9062,7524,70.0,8824.0,57.714285714285715,9672.714285714286,4,11,308108
2024-11-02,2,3,6,46,36,5373,4752,37.0,9062.0,56.57142857142857,8603.142857142857,5,11,193428
2024-11-03,2,3,6,69,53,6464,5761,46.0,5373.0,58.57142857142857,8086.857142857143,6,11,342592
2024-11-04,2,3,6,49,41,9284,7976,69.0,6464.0,54.285714285714285,8565.0,0,11,380644
2024-11-05,2,3,6,47,41,14113,11496,49.0,9284.0,51.285714285714285,9033.285714285714,1,11,578633
2024-11-06,2,3,6,48,40,11646,9797,47.0,14113.0,52.285714285714285,9252.285714285714,2,11,465840
2024-11-07,2,3,6,54,48,9650,8264,48.0,11646.0,50.0,9370.285714285714,3,11,463200
2024-11-08,2,3,6,62,45,12453,10253,54.0,9650.0,53.57142857142857,9854.714285714286,4,11,560385
2024-11-09,2,3,6,56,46,11252,9244,62.0,12453.0,55.0,10694.57142857143,5,11,517592
2024-11-10,2,3,6,43,36,8670,7168,56.0,11252.0,51.285714285714285,11009.714285714286,6,11,312120
2024-11-11,2,3,6,69,57,7714,6609,43.0,8670.0,54.142857142857146,10785.42857142857,0,11,439698
