report_date,region,area_cluster,station_id,total_delivery_vol,delivery_buyer
2024-09-04,SOL,SOL2 Cavite,1705,14615,12113
2024-09-04,SOL,SOL2 Cavite,2268,9259,7666
2024-09-05,NCR,NCR1 Metro Manila West,9,14488,11582
2024-09-05,NCR,NCR1 Metro Manila West,11,8174,6613
2024-09-05,NCR,NCR1 Metro Manila West,13,10543,8866
2024-09-05,NCR,NCR1 Metro Manila West,434,15002,12675
2024-09-05,NCR,NCR1 Metro Manila West,1707,13220,11306
2024-09-05,NCR,NCR1 Metro Manila West,1770,7867,6523
2024-09-05,NCR,NCR1 Metro Manila West,2180,8247,6841
2024-09-05,NCR,NCR1 Metro Manila West,2266,16122,13589
2024-09-05,NCR,NCR1 Metro Manila West,3062,11317,9271
2024-09-05,NCR,NCR2 Metro Manila East,7,18842,15340
2024-09-05,NCR,NCR2 Metro Manila East,18,13628,11564
2024-09-05,NCR,NCR2 Metro Manila East,19,8995,7547
2024-09-05,NCR,NCR2 Metro Manila East,1232,11231,9456
2024-09-05,NCR,NCR2 Metro Manila East,1242,15225,12577
2024-09-05,NCR,NCR2 Metro Manila East,1365,15798,13424
2024-09-05,NCR,NCR2 Metro Manila East,2201,14795,12323
2024-09-05,NCR,NCR2 Metro Manila East,2384,13245,11210
2024-09-05,NCR,NCR2 Metro Manila East,2647,8236,6977
2024-09-05,NCR,NCR2 Metro Manila East,2680,12380,10346
2024-09-05,NOL,NOL5 Bulacan,903,16830,14142
2024-09-05,SOL,SOL1 Laguna/Tanay,20,10394,8896
2024-09-05,SOL,SOL2 Cavite,273,8125,6649
2024-09-05,SOL,SOL2 Cavite,1476,10797,8799
2024-09-05,SOL,SOL2 Cavite,1705,15890,13154
2024-09-05,SOL,SOL2 Cavite,2268,8722,7308
2024-09-06,NCR,NCR1 Metro Manila West,9,14169,11421
2024-09-06,NCR,NCR1 Metro Manila West,11,10101,8208
2024-09-06,NCR,NCR1 Metro Manila West,13,11599,9627
2024-09-06,NCR,NCR1 Metro Manila West,434,20357,16801
2024-09-06,NCR,NCR1 Metro Manila West,1707,16304,13569
2024-09-06,NCR,NCR1 Metro Manila West,1770,11394,9197
2024-09-06,NCR,NCR1 Metro Manila West,2180,9405,7655
2024-09-06,NCR,NCR1 Metro Manila West,2266,18761,15487
2024-09-06,NCR,NCR1 Metro Manila West,3062,12890,10416
2024-09-06,NCR,NCR2 Metro Manila East,7,22073,17383
2024-09-06,NCR,NCR2 Metro Manila East,18,16982,14005
2024-09-06,NCR,NCR2 Metro Manila East,19,9689,8058
2024-09-06,NCR,NCR2 Metro Manila East,1232,14294,11803
2024-09-06,NCR,NCR2 Metro Manila East,1242,17105,13767
2024-09-06,NCR,NCR2 Metro Manila East,1365,18692,15516
2024-09-06,NCR,NCR2 Metro Manila East,2201,15948,13267
2024-09-06,NCR,NCR2 Metro Manila East,2384,12997,10935
2024-09-06,NCR,NCR2 Metro Manila East,2647,9245,7664
2024-09-06,NCR,NCR2 Metro Manila East,2680,13869,11395
2024-09-06,NOL,NOL5 Bulacan,903,18278,15244
2024-09-06,SOL,SOL1 Laguna/Tanay,20,11974,10028
2024-09-06,SOL,SOL2 Cavite,273,8743,7222
2024-09-06,SOL,SOL2 Cavite,1476,11304,9136
2024-09-06,SOL,SOL2 Cavite,1705,17284,14230
2024-09-06,SOL,SOL2 Cavite,2268,9668,8068
2024-09-07,NCR,NCR1 Metro Manila West,9,14694,11564
2024-09-07,NCR,NCR1 Metro Manila West,11,9484,7643
2024-09-07,NCR,NCR1 Metro Manila West,13,9695,8268
2024-09-07,NCR,NCR1 Metro Manila West,434,19998,16423
2024-09-07,NCR,NCR1 Metro Manila West,1707,16314,13483
2024-09-07,NCR,NCR1 Metro Manila West,1770,11219,9006
2024-09-07,NCR,NCR1 Metro Manila West,2180,9156,7403
2024-09-07,NCR,NCR1 Metro Manila West,2266,18455,15215
2024-09-07,NCR,NCR1 Metro Manila West,3062,15078,11828
2024-09-07,NCR,NCR2 Metro Manila East,7,19664,15453
2024-09-07,NCR,NCR2 Metro Manila East,18,15737,13002
2024-09-07,NCR,NCR2 Metro Manila East,19,9495,7813
2024-09-07,NCR,NCR2 Metro Manila East,1232,14561,11965
2024-09-07,NCR,NCR2 Metro Manila East,1242,14339,11602
2024-09-07,NCR,NCR2 Metro Manila East,1365,19121,15727
2024-09-07,NCR,NCR2 Metro Manila East,2201,17808,14307
2024-09-07,NCR,NCR2 Metro Manila East,2384,15777,12936
2024-09-07,NCR,NCR2 Metro Manila East,2647,9236,7548
2024-09-07,NCR,NCR2 Metro Manila East,2680,13516,11091
2024-09-07,NOL,NOL5 Bulacan,903,18340,15103
2024-09-07,SOL,SOL1 Laguna/Tanay,20,10482,8841
2024-09-07,SOL,SOL2 Cavite,273,8090,6611
2024-09-07,SOL,SOL2 Cavite,1476,10346,8438
2024-09-07,SOL,SOL2 Cavite,1705,15855,13182
2024-09-07,SOL,SOL2 Cavite,2268,9022,7639
2024-09-08,NCR,NCR1 Metro Manila West,9,11374,9092
2024-09-08,NCR,NCR1 Metro Manila West,11,7249,6059
2024-09-08,NCR,NCR1 Metro Manila West,13,10344,8582
2024-09-08,NCR,NCR1 Metro Manila West,434,14902,12417
2024-09-08,NCR,NCR1 Metro Manila West,1707,12279,10402
2024-09-08,NCR,NCR1 Metro Manila West,1770,8065,6616
2024-09-08,NCR,NCR1 Metro Manila West,2180,7912,6428
2024-09-08,NCR,NCR1 Metro Manila West,2266,15068,12602
2024-09-08,NCR,NCR1 Metro Manila West,3062,10055,8102
2024-09-08,NCR,NCR2 Metro Manila East,7,13388,11195
2024-09-08,NCR,NCR2 Metro Manila East,18,12156,10322
2024-09-08,NCR,NCR2 Metro Manila East,19,7403,6161
2024-09-08,NCR,NCR2 Metro Manila East,1232,12405,10212
2024-09-08,NCR,NCR2 Metro Manila East,1242,10903,8940
2024-09-08,NCR,NCR2 Metro Manila East,1365,14273,12005
2024-09-08,NCR,NCR2 Metro Manila East,2201,14382,11774
2024-09-08,NCR,NCR2 Metro Manila East,2384,13006,10686
2024-09-08,NCR,NCR2 Metro Manila East,2647,7140,6028
2024-09-08,NCR,NCR2 Metro Manila East,2680,11454,9514
2024-09-08,NOL,NOL5 Bulacan,903,15457,12983
2024-09-08,SOL,SOL1 Laguna/Tanay,20,9650,8101
2024-09-08,SOL,SOL2 Cavite,273,6948,5877
2024-09-08,SOL,SOL2 Cavite,1476,8876,7358
2024-09-08,SOL,SOL2 Cavite,1705,14376,12096
2024-09-08,SOL,SOL2 Cavite,2268,7759,6612
2024-09-09,NCR,NCR1 Metro Manila West,9,9222,7680
2024-09-09,NCR,NCR1 Metro Manila West,11,7299,6022
