report_date,region,area_cluster,station_id,rr_pu_vol,rr_users
2024-09-05,NCR,NCR1 Metro Manila West,2266,68,61
2024-09-05,NCR,NCR1 Metro Manila West,3062,56,43
2024-09-05,NCR,NCR2 Metro Manila East,7,79,67
2024-09-05,NCR,NCR2 Metro Manila East,18,59,49
2024-09-05,NCR,NCR2 Metro Manila East,19,56,48
2024-09-05,NCR,NCR2 Metro Manila East,1232,34,22
2024-09-05,NCR,NCR2 Metro Manila East,1242,86,66
2024-09-05,NCR,NCR2 Metro Manila East,1365,61,51
2024-09-05,NCR,NCR2 Metro Manila East,2201,81,63
2024-09-05,NCR,NCR2 Metro Manila East,2384,45,37
2024-09-05,NCR,NCR2 Metro Manila East,2647,45,34
2024-09-05,NCR,NCR2 Metro Manila East,2680,41,37
2024-09-05,NOL,NOL5 Bulacan,903,58,46
2024-09-05,SOL,SOL1 Laguna/Tanay,20,51,43
2024-09-05,SOL,SOL2 Cavite,273,40,37
2024-09-05,SOL,SOL2 Cavite,1476,24,21
2024-09-05,SOL,SOL2 Cavite,1705,50,45
2024-09-05,SOL,SOL2 Cavite,2268,64,58
2024-09-06,NCR,NCR1 Metro Manila West,9,52,44
2024-09-06,NCR,NCR1 Metro Manila West,11,45,41
2024-09-06,NCR,NCR1 Metro Manila West,13,69,55
2024-09-06,NCR,NCR1 Metro Manila West,434,97,77
2024-09-06,NCR,NCR1 Metro Manila West,1707,54,42
2024-09-06,NCR,NCR1 Metro Manila West,1770,38,33
2024-09-06,NCR,NCR1 Metro Manila West,2180,51,39
2024-09-06,NCR,NCR1 Metro Manila West,2266,56,47
2024-09-06,NCR,NCR1 Metro Manila West,3062,44,43
2024-09-06,NCR,NCR2 Metro Manila East,7,114,89
2024-09-06,NCR,NCR2 Metro Manila East,18,57,47
2024-09-06,NCR,NCR2 Metro Manila East,19,53,38
2024-09-06,NCR,NCR2 Metro Manila East,1232,41,40
2024-09-06,NCR,NCR2 Metro Manila East,1242,43,35
2024-09-06,NCR,NCR2 Metro Manila East,1365,77,63
2024-09-06,NCR,NCR2 Metro Manila East,2201,64,57
2024-09-06,NCR,NCR2 Metro Manila East,2384,45,43
2024-09-06,NCR,NCR2 Metro Manila East,2647,38,37
2024-09-06,NCR,NCR2 Metro Manila East,2680,52,47
2024-09-06,NOL,NOL5 Bulacan,903,62,55
2024-09-06,SOL,SOL1 Laguna/Tanay,20,45,38
2024-09-06,SOL,SOL2 Cavite,273,40,33
2024-09-06,SOL,SOL2 Cavite,1476,43,37
2024-09-06,SOL,SOL2 Cavite,1705,36,33
2024-09-06,SOL,SOL2 Cavite,2268,52,40
2024-09-07,NCR,NCR1 Metro Manila West,9,46,32
2024-09-07,NCR,NCR1 Metro Manila West,11,35,32
2024-09-07,NCR,NCR1 Metro Manila West,13,40,37
2024-09-07,NCR,NCR1 Metro Manila West,434,78,61
2024-09-07,NCR,NCR1 Metro Manila West,1707,47,37
2024-09-07,NCR,NCR1 Metro Manila West,1770,35,28
2024-09-07,NCR,NCR1 Metro Manila West,2180,56,46
2024-09-07,NCR,NCR1 Metro Manila West,2266,83,71
2024-09-07,NCR,NCR1 Metro Manila West,3062,57,46
2024-09-07,NCR,NCR2 Metro Manila East,7,77,59
2024-09-07,NCR,NCR2 Metro Manila East,18,57,44
2024-09-07,NCR,NCR2 Metro Manila East,19,51,40
2024-09-07,NCR,NCR2 Metro Manila East,1232,66,53
2024-09-07,NCR,NCR2 Metro Manila East,1242,87,73
2024-09-07,NCR,NCR2 Metro Manila East,1365,56,46
2024-09-07,NCR,NCR2 Metro Manila East,2201,63,50
2024-09-07,NCR,NCR2 Metro Manila East,2384,25,24
2024-09-07,NCR,NCR2 Metro Manila East,2647,54,47
2024-09-07,NCR,NCR2 Metro Manila East,2680,47,42
2024-09-07,NOL,NOL5 Bulacan,903,65,55
2024-09-07,SOL,SOL1 Laguna/Tanay,20,42,38
2024-09-07,SOL,SOL2 Cavite,273,40,32
2024-09-07,SOL,SOL2 Cavite,1476,34,27
2024-09-07,SOL,SOL2 Cavite,1705,62,53
2024-09-07,SOL,SOL2 Cavite,2268,51,35
2024-09-08,NCR,NCR1 Metro Manila West,9,40,32
2024-09-08,NCR,NCR1 Metro Manila West,11,33,31
2024-09-08,NCR,NCR1 Metro Manila West,13,30,23
2024-09-08,NCR,NCR1 Metro Manila West,434,53,42
2024-09-08,NCR,NCR1 Metro Manila West,1707,53,45
